thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,0,2,,,,2,2.6799709999468178,None,,,,,,,,,,,2,0,2,0,,,,,,,,,37.84032119996846,,,,,,,,,,,,,,,,,,,,40.71134329983033,40.72441009990871,41.2414508999791,41.20888279983774,37.83189869998023,37.84032119996846,38.02571489987895,40.71113199996762,AppleOne20.jpg,Plan 2,2,2.6799709999468178,None,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
3,0,3,,,,2,2.8390786999370903,None,,,,,,,,,,,3,0,3,0,,,,,,,,,41.2414508999791,,,,,,,,,,,,,,,,,,,,44.274047599872574,44.28920409991406,44.807585099944845,44.77384899999015,41.2267375998199,41.2414508999791,41.42609899980016,44.27393249981105,Netflix20.jpg,Plan 2,2,2.8390786999370903,None,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
4,0,4,,,,1,2.979651700006798,None,,,,,,,,,,,4,0,4,0,,,,,,,,,44.807585099944845,,,,,,,,,,,,,,,,,,,,47.95866819983348,47.972386199980974,48.47329799993895,48.45656699989922,44.79539689980447,44.807585099944845,44.974286699900404,47.95849169977009,Crunchyroll20.jpg,Plan 1,1,2.979651700006798,None,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
5,0,5,,,,1,5.026493099983782,None,,,,,,,,,,,5,0,5,0,,,,,,,,,48.47329799993895,,,,,,,,,,,,,,,,,,,,53.70516569982283,53.72088019992225,,54.20541609986685,48.46640369994566,48.47329799993895,48.673999399878085,53.70508269988932,Zee520.jpg,Plan 1,1,5.026493099983782,None,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.233716499991715,54.25327659980394,,54.721561499871314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
0,0,0,,,,,,,1,1.9745155000127852,None,,,,,,,,,,,,0,0,0,0,,,,,54.75425699981861,,,,,,,,,,,,,,,,,,,,56.88883089995943,56.90394189977087,57.42152709979564,57.387743999948725,,,,,,,,,,54.73262709984556,54.75425699981861,54.904669699957594,56.88870909996331,Zee530.jpg,Plan 1,1,1.9745155000127852,None,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
1,0,1,,,,,,,1,3.429794800002128,None,,,,,,,,,,,,1,0,1,0,,,,,57.42152709979564,,,,,,,,,,,,,,,,,,,,61.02158619998954,61.036136699840426,61.553232999984175,61.52111959992908,,,,,,,,,,57.40401259995997,57.42152709979564,57.589193699881434,61.02147309994325,AppleOne30.jpg,Plan 1,1,3.429794800002128,None,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
2,0,2,,,,,,,1,2.493493099929765,None,,,,,,,,,,,,2,0,2,0,,,,,61.553232999984175,,,,,,,,,,,,,,,,,,,,64.22207209980115,64.23641969985329,,64.73686249996535,,,,,,,,,,61.540124899940565,61.553232999984175,61.72047849977389,64.2218065999914,Crunchyroll30.jpg,Plan 1,1,2.493493099929765,None,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
3,0,3,,,,,,,2,2.2376228000503033,None,,,,,,,,,,,,3,0,3,0,,,,,64.78751389984973,,,,,,,,,,,,,,,,,,,,67.18675809982233,67.20112869981676,67.71792139997706,67.68673669989221,,,,,,,,,,64.76502279983833,64.78751389984973,64.93702709977515,67.1866295998916,Hotstar30.jpg,Plan 2,2,2.2376228000503033,None,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
4,0,4,,,,,,,4,3.3480222998186946,None,,,,,,,,,,,,4,0,4,0,,,,,67.71792139997706,,,,,,,,,,,,,,,,,,,,71.25216229981743,71.26781169977039,71.78379619983025,71.75181759987026,,,,,,,,,,67.7045611999929,67.71792139997706,67.90217009978369,71.25205869995989,Netflix30.jpg,Plan 4,4,3.3480222998186946,None,,,,,,,,,,,,,,,,,85707,001,2025-04-02_18h23.15.142,RES501,2024.2.4,60.00020407209664,2025-04-02 18h23.33.007196 +0530,
