thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,textblank500.stopped,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
2,0,2,,,,3,31.6078948,None,,,,,,,,,,,2,0,2,0,,,,,,,,,416.1352547,,,,,,,,,,,,,,,,,,,,447.8680606,447.8825836,448.3687436,416.1130279,416.1352547,416.233157,447.8677067,Netflix20.jpg,Plan 3,3,31.6078948,None,448.4720131,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
3,0,3,,,,3,8.6533606,None,,,,,,,,,,,3,0,3,0,,,,,,,,,448.4720131,,,,,,,,,,,,,,,,,,,,457.2491872,457.2731298,457.7610104,448.4387341,448.4720131,448.5877733,457.2480434,Crunchyroll20.jpg,Plan 3,3,8.6533606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
4,0,4,,,,1,35.8745548,None,,,,,,,,,,,4,0,4,0,,,,,,,,,457.8314796,,,,,,,,,,,,,,,,,,,,493.8634694,493.8891555,494.3770258,457.8138682,457.8314796,457.9627684,493.8629511,Zee520.jpg,Plan 1,1,35.8745548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
5,0,5,,,,3,20.0460488,None,,,,,,,,,,,5,0,5,0,,,,,,,,,494.581098,,,,,,,,,,,,,,,,,,,,514.6851747,514.7121389,515.2000254,494.5460637,494.581098,494.6089168,514.6846166,Hotstar20.jpg,Plan 3,3,20.0460488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.6046084,515.6297481,515.7022888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
0,0,0,,,,,,,1,19.0409267,None,,,,,,,,,,,,0,0,0,0,,,,,515.8401056,,,,,,,,,,,,,,,,,,,,534.9620378,534.9847054,535.4734186,,,,,,,,,,,515.8100235,515.8401056,515.9025404,534.9607563,Zee530.jpg,Plan 1,1,19.0409267,None,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
1,0,1,,,,,,,3,5.7530897,None,,,,,,,,,,,,1,0,1,0,,,,,535.6929429,,,,,,,,,,,,,,,,,,,,541.4646641,541.4917407,541.9794245,,,,,,,,,,,535.665705,535.6929429,535.6929429,541.4642426,Hotstar30.jpg,Plan 3,3,5.7530897,None,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
2,0,2,,,,,,,3,7.2115762,None,,,,,,,,,,,,2,0,2,0,,,,,542.1130725,,,,,,,,,,,,,,,,,,,,549.4057589,549.4338562,549.9214302,,,,,,,,,,,542.0821392,542.1130725,542.1645186,549.4053533,Netflix30.jpg,Plan 3,3,7.2115762,None,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
3,0,3,,,,,,,3,11.6466064,None,,,,,,,,,,,,3,0,3,0,,,,,550.0592158,,,,,,,,,,,,,,,,,,,,561.7736261,561.7971816,562.2847206,,,,,,,,,,,550.0321041,550.0592158,550.1228783,561.7732806,Crunchyroll30.jpg,Plan 3,3,11.6466064,None,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
4,0,4,,,,,,,2,11.8437043,None,,,,,,,,,,,,4,0,4,0,,,,,562.4508497,,,,,,,,,,,,,,,,,,,,574.3358137,574.3632197,574.8478758,,,,,,,,,,,562.4239936,562.4508497,562.4857931,574.3355577,AppleOne30.jpg,Plan 2,2,11.8437043,None,,,,,,,,,,,,,,,,,66808,1,2025-03-26_13h09.35.920,RES501,2024.2.4,59.03644262,2025-03-26 13h10.10.416488 +0530
