thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,0,2,,,,2,6.09370820003096,None,,,,,,,,,,,2,0,2,0,,,,,,,,,217.38365040003555,,,,,,,,,,,,,,,,,,,,223.6252409000299,223.63839360000566,224.2079720000038,224.12388550001197,217.3581819999963,217.38365040003555,217.51910320000025,223.62506120000035,Netflix20.jpg,Plan 2,2,6.09370820003096,None,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
3,0,3,,,,1,9.424822600034531,None,,,,,,,,,,,3,0,3,0,,,,,,,,,224.2079720000038,,,,,,,,,,,,,,,,,,,,233.75424400001066,233.7662009000196,234.31996860000072,234.25190309999743,224.18516410002485,224.2079720000038,224.32437779998872,233.75402330001816,Crunchyroll20.jpg,Plan 1,1,9.424822600034531,None,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
4,0,4,,,,1,3.8820347000146285,None,,,,,,,,,,,4,0,4,0,,,,,,,,,234.31996860000072,,,,,,,,,,,,,,,,,,,,238.35722460004035,238.3703460000106,238.90568450000137,238.85485719999997,234.29372560000047,234.31996860000072,234.46928860002663,238.3570800999878,Zee520.jpg,Plan 1,1,3.8820347000146285,None,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
5,0,5,,,,2,6.087500600027852,None,,,,,,,,,,,5,0,5,0,,,,,,,,,238.90568450000137,,,,,,,,,,,,,,,,,,,,245.1486556000309,245.16179260000354,245.77708279999206,245.64935270004207,238.89181569998618,238.90568450000137,239.05656719999388,245.14847519999603,SonyLiv20.jpg,Plan 2,2,6.087500600027852,None,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.7599874000298,245.77708279999206,,246.1641738000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
0,0,0,,,,,,,1,3.592721800028812,None,,,,,,,,,,,,0,0,0,0,,,,,246.23097700002836,,,,,,,,,,,,,,,,,,,,249.9550961999921,249.96676330000628,250.53555199998664,250.45508660003543,,,,,,,,,,246.21008039999288,246.23097700002836,246.34828050003853,249.95488889998524,Zee530.jpg,Plan 1,1,3.592721800028812,None,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
1,0,1,,,,,,,2,1.8122760000405833,None,,,,,,,,,,,,1,0,1,0,,,,,250.53555199998664,,,,,,,,,,,,,,,,,,,,252.49140270001953,252.5067124000052,,253.00347230001353,,,,,,,,,,250.51492839999264,250.53555199998664,250.6713141000364,252.49117520003347,AppleOne30.jpg,Plan 2,2,1.8122760000405833,None,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
2,0,2,,,,,,,4,27.308974499988835,None,,,,,,,,,,,,2,0,2,0,,,,,253.0560507000191,,,,,,,,,,,,,,,,,,,,280.523179300013,280.534343300038,281.0858070999966,281.02005869999994,,,,,,,,,,253.04664040001808,253.0560507000191,253.204566600034,280.52293030003784,Netflix30.jpg,Plan 4,4,27.308974499988835,None,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
3,0,3,,,,,,,3,3.994089200044982,None,,,,,,,,,,,,3,0,3,0,,,,,281.0858070999966,,,,,,,,,,,,,,,,,,,,285.2451233000029,285.2565506999963,285.8069640999893,285.73992090002866,,,,,,,,,,281.0765956999967,281.0858070999966,281.2378893000423,285.2448774999939,Hotstar30.jpg,Plan 3,3,3.994089200044982,None,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
4,0,4,,,,,,,2,3.533768500026781,None,,,,,,,,,,,,4,0,4,0,,,,,285.8069640999893,,,,,,,,,,,,,,,,,,,,289.5000199000351,289.511401100026,290.07974890002515,289.9965778000187,,,,,,,,,,285.7846300000092,285.8069640999893,285.9585621000151,289.4997299000388,SonyLiv30.jpg,Plan 2,2,3.533768500026781,None,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
5,0,5,,,,,,,1,11.908520299999509,None,,,,,,,,,,,,5,0,5,0,,,,,290.07974890002515,,,,,,,,,,,,,,,,,,,,302.13059850002173,302.14177310001105,302.739627700008,302.6268112999969,,,,,,,,,,290.06213299999945,290.07974890002515,290.21364600001834,302.1303096000338,Crunchyroll30.jpg,Plan 1,1,11.908520299999509,None,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.72540280001704,302.739627700008,,303.14350579999154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
0,0,0,,,,,,,,,,2,5.940628799959086,None,,,,,,,,,,,,,0,0,0,0,303.2096565000247,,,,,,,,,,,,,,,,,,,,309.28774230001727,309.30018600000767,309.8667089000228,309.78457940003136,,,,,,,,,,,,,,,,,,,303.19603089999873,303.2096565000247,303.34319079999113,309.28739820001647,SonyLivBundling.jpg,Plan 2,2,5.940628799959086,None,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
1,0,1,,,,,,,,,,2,8.781926599971484,None,,,,,,,,,,,,,1,0,1,0,309.8667089000228,,,,,,,,,,,,,,,,,,,,318.7976774999988,318.8107523000217,319.3617050999892,319.2956944000325,,,,,,,,,,,,,,,,,,,309.8576178000076,309.8667089000228,310.00255610002205,318.7974452000344,AppleOneBundling.jpg,Plan 2,2,8.781926599971484,None,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
2,0,2,,,,,,,,,,1,5.617173600010574,None,,,,,,,,,,,,,2,0,2,0,319.3617050999892,,,,,,,,,,,,,,,,,,,,325.13824200001545,325.15100650000386,325.70221359998686,325.63733930001035,,,,,,,,,,,,,,,,,,,319.35353570000734,319.3617050999892,319.5119501000154,325.1379668000154,CrunchyrollBundling.jpg,Plan 1,1,5.617173600010574,None,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
3,0,3,,,,,,,,,,3,5.383832799969241,None,,,,,,,,,,,,,3,0,3,0,325.70221359998686,,,,,,,,,,,,,,,,,,,,331.2460245999973,331.258029300021,331.8089122000383,331.7430277999956,,,,,,,,,,,,,,,,,,,325.69427979999455,325.70221359998686,325.8534160000272,331.24581140000373,HotstarBundling.jpg,Plan 3,3,5.383832799969241,None,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
4,0,4,,,,,,,,,,1,3.9226996999932453,None,,,,,,,,,,,,,4,0,4,0,331.8089122000383,,,,,,,,,,,,,,,,,,,,335.9022098000278,335.91321890003746,336.4627819000161,336.39710930001456,,,,,,,,,,,,,,,,,,,331.794392300013,331.8089122000383,331.96068459999515,335.90194260003045,Zee5Bundling.jpg,Plan 1,1,3.9226996999932453,None,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
5,0,5,,,,,,,,,,2,3.2445060999598354,None,,,,,,,,,,,,,5,0,5,0,336.4627819000161,,,,,,,,,,,,,,,,,,,,339.87156970001524,339.8841939000413,340.49911790003534,340.3693443000084,,,,,,,,,,,,,,,,,,,336.4480915000313,336.4627819000161,336.6137495000148,339.8713204000378,NetflixBundling.jpg,Plan 2,2,3.2445060999598354,None,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.4798520000186,340.49911790003534,,340.88610100001097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46271,001,2025-03-27_12h25.58.040,RES501,2024.2.4,59.22202395842189,2025-03-27 12h26.50.397738 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.8862318000174,340.9026177999913,341.88535260001663,,,,,,,,
