thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,0,2,,,,3,3.9660895840497687,None,,,,,,,,,,,2,0,2,0,,,,,,,,,67.52134616597323,,,,,,,,,,,,,,,,,,,,71.65799133299151,71.66683841595659,72.18333574995631,72.156320665963,67.51446262496756,67.52134616597323,67.67829924996477,71.65780945797451,Netflix20.jpg,Plan 3,3,3.9660895840497687,None,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
3,0,3,,,,1,5.421013167011552,None,,,,,,,,,,,3,0,3,0,,,,,,,,,72.18333574995631,,,,,,,,,,,,,,,,,,,,77.791968540987,77.80333120794967,,78.29331808298593,72.17667916597566,72.18333574995631,72.35625104099745,77.79124454094563,Zee520.jpg,Plan 1,1,5.421013167011552,None,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
4,0,4,,,,2,2.844412459002342,None,,,,,,,,,,,4,0,4,0,,,,,,,,,78.33067954098806,,,,,,,,,,,,,,,,,,,,81.34101870795712,81.34597166598542,81.88426641596016,81.84016287495615,78.32378987496486,78.33067954098806,78.49224266596138,81.34087587497197,AppleOne20.jpg,Plan 2,2,2.844412459002342,None,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
5,0,5,,,,3,1.581721958995331,None,,,,,,,,,,,5,0,5,0,,,,,,,,,81.88426641596016,,,,,,,,,,,,,,,,,,,,83.62696016597329,83.63529899995774,84.13938433298608,84.1271533749532,81.87766991596436,81.88426641596016,82.03901141596725,83.62682533299085,Hotstar20.jpg,Plan 3,3,1.581721958995331,None,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1272866249783,84.13938433298608,84.66791550000198,84.6273538749665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
0,0,0,,,,,,,3,1.2829953749896958,None,,,,,,,,,,,,0,0,0,0,,,,,84.66791550000198,,,,,,,,,,,,,,,,,,,,86.11414724995848,86.12617041595513,86.6346802909975,86.61234187497757,,,,,,,,,,84.66092129098251,84.66791550000198,84.82568208297016,86.1139151660027,Crunchyroll30.jpg,Plan 3,3,1.2829953749896958,None,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
1,0,1,,,,,,,1,2.380721999972593,None,,,,,,,,,,,,1,0,1,0,,,,,86.6346802909975,,,,,,,,,,,,,,,,,,,,89.19555199996103,89.20585916598793,89.74293462495552,89.69428137497744,,,,,,,,,,86.62807579099899,86.6346802909975,86.80580820795149,89.19540999998571,Zee530.jpg,Plan 1,1,2.380721999972593,None,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
2,0,2,,,,,,,3,3.692162916995585,None,,,,,,,,,,,,2,0,2,0,,,,,89.74293462495552,,,,,,,,,,,,,,,,,,,,93.59494062495651,93.60407237499021,94.12748104095226,94.09097083297092,,,,,,,,,,89.73621883295709,89.74293462495552,89.89421174995368,93.59477845794754,SonyLiv30.jpg,Plan 3,3,3.692162916995585,None,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
3,0,3,,,,,,,2,1.3219955419772305,None,,,,,,,,,,,,3,0,3,0,,,,,94.12748104095226,,,,,,,,,,,,,,,,,,,,95.62404379097279,95.63051691598957,96.1559912499506,96.12320970796281,,,,,,,,,,94.12103224999737,94.12748104095226,94.29246758297086,95.62392279098276,AppleOne30.jpg,Plan 2,2,1.3219955419772305,None,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
4,0,4,,,,,,,3,1.2574252089834772,None,,,,,,,,,,,,4,0,4,0,,,,,96.1559912499506,,,,,,,,,,,,,,,,,,,,97.58294849999947,97.59465154097416,98.11960724997334,98.07787808298599,,,,,,,,,,96.14931237499695,96.1559912499506,96.32262637495296,97.58280183299212,Hotstar30.jpg,Plan 3,3,1.2574252089834772,None,,,,,,,,,,,,,,,,,43159,001,2025-04-01_12h49.16.514,RES501,2024.2.4,None,2025-04-01 12h49.36.466946 +0530,
