thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017604799941182137,0.03557029995135963,2.052204299950972,2.10227629984729,3.002226399956271,10.038791799917817,space,7.031097200000659,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
0,0,0,2,8.22168519999832,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,10.105072099948302,,,,,,,,,,,10.054381900001317,10.105072099948302,10.251021099975333,18.483585299924016,HotstarControl.jpg,Plan 2,2,8.22168519999832,None,18.483732199994847,18.497934899991378,19.03079009987414,18.982926900032908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
1,0,1,2,3.9846436998341233,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,19.03079009987414,,,,,,,,,,,19.010154699906707,19.03079009987414,19.198504299856722,23.199323899811134,AppleOneControl.jpg,Plan 2,2,3.9846436998341233,None,23.199473300017416,23.213579499861225,23.714697299990803,23.697432699846104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
2,0,2,3,4.2191917998716235,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,23.714697299990803,,,,,,,,,,,23.706746599869803,23.714697299990803,23.914780599996448,28.150302399881184,Zee5Control.jpg,Plan 3,3,4.2191917998716235,None,28.150494899833575,28.163544399896637,28.67968999990262,28.648103300016373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
3,0,3,2,2.363652099855244,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,28.67968999990262,,,,,,,,,,,28.66334049985744,28.67968999990262,28.86389169981703,31.232827299972996,NetflixControl.jpg,Plan 2,2,2.363652099855244,None,31.233074199873954,31.246246099937707,,31.745963800000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
4,0,4,3,2.2386011998169124,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,31.7779128998518,,,,,,,,,,,31.77114519989118,31.7779128998518,31.946392699843273,34.19687499990687,SonyLivControl.jpg,Plan 3,3,2.2386011998169124,None,34.19704709993675,34.21191539987922,34.728304099990055,34.69648039992899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
5,0,5,2,3.9333311999216676,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,34.728304099990055,,,,,,,,,,,34.7230499999132,34.728304099990055,34.896042899927124,38.830660899868235,CrunchyrollControl.jpg,Plan 2,2,3.9333311999216676,None,38.8308049000334,38.843927199952304,39.35896849981509,39.32870809989981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.355212999973446,39.35896849981509,,39.84446659986861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
0,0,0,,,,2,3.086820699973032,None,,,,,,,,,,,0,0,0,0,,,,,,,,,39.87678839988075,,,,,,,,,,,,,,,,,,,,43.144903499865904,43.159974299836904,43.6936824999284,43.64328629989177,39.8606258998625,39.87678839988075,40.04484129999764,43.144808899844065,Crunchyroll20.jpg,Plan 2,2,3.086820699973032,None,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
1,0,1,,,,2,1.91156359994784,None,,,,,,,,,,,1,0,1,0,,,,,,,,,43.6936824999284,,,,,,,,,,,,,,,,,,,,45.778633299982175,45.79305259999819,46.30879719997756,46.27685000002384,43.673057599924505,43.6936824999284,43.86043070000596,45.77847449993715,SonyLiv20.jpg,Plan 2,2,1.91156359994784,None,,,,,,,,,,,,,,,,,,,,,,,,,,67738,001,2025-04-02_18h37.39.660,RES501,2024.2.4,60.203209934283144,2025-04-02 18h37.56.739748 +0530,
