thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032694998662918806,0.021680499892681837,2.021512199891731,2.104542499873787,3.0039263998623937,5.265634699957445,space,2.2453803000971675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
0,0,0,1,4.002226100070402,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,5.343163299839944,,,,,,,,,,,5.285253599984571,5.343163299839944,5.471416899934411,9.48742669983767,SonyLivControl.jpg,Plan 1,1,4.002226100070402,None,9.487536299973726,9.502708100015298,10.020109500037506,9.98654989991337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
1,0,1,2,3.3163074001204222,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,10.020109500037506,,,,,,,,,,,10.010587200056762,10.020109500037506,10.187186199938878,13.520188000053167,CrunchyrollControl.jpg,Plan 2,2,3.3163074001204222,None,13.52031149994582,13.535976700019091,14.051077299984172,14.0206452999264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
2,0,2,1,2.366203300189227,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,14.051077299984172,,,,,,,,,,,14.044910999946296,14.051077299984172,14.219696099869907,16.587289599934593,AppleOneControl.jpg,Plan 1,1,2.366203300189227,None,16.58742869994603,16.60109979985282,17.118410599883646,17.08648779988289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
3,0,3,3,4.23559009982273,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,17.118410599883646,,,,,,,,,,,17.103824499994516,17.118410599883646,17.302351200021803,21.554327399935573,NetflixControl.jpg,Plan 3,3,4.23559009982273,None,21.554511799942702,21.568679600022733,22.08387179998681,22.05190570000559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
4,0,4,2,5.0568213001824915,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,22.08387179998681,,,,,,,,,,,22.06753330002539,22.08387179998681,22.269156399881467,27.33476909995079,HotstarControl.jpg,Plan 2,2,5.0568213001824915,None,27.334926099982113,27.349307799944654,27.86675829999149,27.833804599940777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
5,0,5,1,1.5178241999819875,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,27.86675829999149,,,,,,,,,,,27.845379299949855,27.86675829999149,28.0500735999085,29.584018100053072,Zee5Control.jpg,Plan 1,1,1.5178241999819875,None,29.584152600029483,29.598140199901536,30.11362689989619,30.083014299860224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.108777499990538,30.11362689989619,,30.598544699838385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
0,0,0,,,,4,2.7224948999937624,None,,,,,,,,,,,0,0,0,0,,,,,,,,,30.632227799855173,,,,,,,,,,,,,,,,,,,,33.53424619999714,33.54899360006675,,34.047998799942434,30.612793899839744,30.632227799855173,30.80004210001789,33.53399799996987,Netflix20.jpg,Plan 4,4,2.7224948999937624,None,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
1,0,1,,,,1,2.9478475998621434,None,,,,,,,,,,,1,0,1,0,,,,,,,,,34.080451800022274,,,,,,,,,,,,,,,,,,,,37.19931069994345,37.21388609986752,37.730080199893564,37.69773110002279,34.076308199902996,34.080451800022274,34.24958790000528,37.19919970002957,Zee520.jpg,Plan 1,1,2.9478475998621434,None,,,,,,,,,,,,,,,,,,,,,,,,,,92622,001,2025-04-02_18h20.49.086,RES501,2024.2.4,59.19082592157141,2025-04-02 18h21.07.170782 +0530,
