thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012125542009016499,0.03330275000189431,2.021597583006951,2.098686000012094,2.998823417001404,3.552101875000517,space,0.502727541999775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
0,0,0,1,13.42769558398868,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,3.6034179580019554,,,,,,,,,,,3.579130375001114,3.6034179580019554,3.749135792008019,17.184740625001723,CrunchyrollControl.jpg,Plan 1,1,13.42769558398868,None,17.18493570800638,17.195231833000435,17.713748250011122,17.68320208300429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
1,0,1,1,1.7374305829871446,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,17.713748250011122,,,,,,,,,,,17.70696870800748,17.713748250011122,17.882404708012473,19.625928542009206,AppleOneControl.jpg,Plan 1,1,1.7374305829871446,None,19.626074792002328,19.649619125004392,,20.132967249999638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
2,0,2,2,1.2984250000008615,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,20.167235958011588,,,,,,,,,,,20.16023908300849,20.167235958011588,20.322651958005736,21.623303750006016,NetflixControl.jpg,Plan 2,2,1.2984250000008615,None,21.623378000003868,21.632225792011013,22.143344875003095,22.116515958012315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
3,0,3,2,37.183588583007804,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,22.143344875003095,,,,,,,,,,,22.137036208005156,22.143344875003095,22.32180912500189,59.51865920799901,HotstarControl.jpg,Plan 2,2,37.183588583007804,None,59.51933200001076,59.52551366700209,60.07567108300282,60.017837417006376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
4,0,4,3,3.591589500007103,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,60.07567108300282,,,,,,,,,,,60.06867433300067,60.07567108300282,60.21699112500937,63.812230625000666,SonyLivControl.jpg,Plan 3,3,3.591589500007103,None,63.81237283301016,63.81798412500939,64.33278779200919,64.3017909580085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
5,0,5,3,12.814677250004024,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,64.33278779200919,,,,,,,,,,,64.32575608300976,64.33278779200919,64.50706666700717,77.32693929200468,Zee5Control.jpg,Plan 3,3,12.814677250004024,None,77.32709445799992,77.33888245800335,77.83457054200699,77.82416004200059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.82436025000061,77.83457054200699,78.37118033300794,78.31839725001191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
0,0,0,,,,3,1.3380539170029806,None,,,,,,,,,,,0,0,0,0,,,,,,,,,78.37118033300794,,,,,,,,,,,,,,,,,,,,79.86918300000252,79.87787491700146,80.4004554580024,80.36837645800551,78.36200325000391,78.37118033300794,78.5236249580048,79.86901950000902,SonyLiv20.jpg,Plan 3,3,1.3380539170029806,None,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
1,0,1,,,,1,6.597257457993692,None,,,,,,,,,,,1,0,1,0,,,,,,,,,80.4004554580024,,,,,,,,,,,,,,,,,,,,87.17025229200954,87.17517016700003,87.69598225000664,87.6687744580122,80.39351404200715,80.4004554580024,80.56773108300695,87.17006562500319,AppleOne20.jpg,Plan 1,1,6.597257457993692,None,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
2,0,2,,,,3,2.275619584004744,None,,,,,,,,,,,2,0,2,0,,,,,,,,,87.69598225000664,,,,,,,,,,,,,,,,,,,,90.15370066701144,90.16356583300512,90.68620595800166,90.65217679200578,87.68912116700085,87.69598225000664,87.86775916699844,90.15339020801184,Zee520.jpg,Plan 3,3,2.275619584004744,None,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
3,0,3,,,,2,0.7373114170040935,None,,,,,,,,,,,3,0,3,0,,,,,,,,,90.68620595800166,,,,,,,,,,,,,,,,,,,,91.59452758300176,91.60665037500439,92.12153595800919,92.09127316701051,90.67913025000598,90.68620595800166,90.85132458301086,91.59439050000219,Netflix20.jpg,Plan 2,2,0.7373114170040935,None,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
4,0,4,,,,2,5.381317417006358,None,,,,,,,,,,,4,0,4,0,,,,,,,,,92.12153595800919,,,,,,,,,,,,,,,,,,,,97.67711750000308,97.70185612500063,,98.18529054200917,92.11458983299963,92.12153595800919,92.29056779200619,97.6769649580092,Hotstar20.jpg,Plan 2,2,5.381317417006358,None,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
5,0,5,,,,3,1.2979101670061937,None,,,,,,,,,,,5,0,5,0,,,,,,,,,98.22168883300037,,,,,,,,,,,,,,,,,,,,99.67819950000558,99.6897420000023,100.18506829200487,100.17486887500854,98.21465741700376,98.22168883300037,98.37431354200817,99.67806116701104,Crunchyroll20.jpg,Plan 3,3,1.2979101670061937,None,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.17500808300974,100.18506829200487,100.70419545800542,100.6691581250052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74946,001,2025-03-28_12h38.12.147,RES501,2024.2.4,None,2025-03-28 12h38.47.678654 +0530,
