thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,0,2,,,,1,3.503509699832648,None,,,,,,,,,,,2,0,2,0,,,,,,,,,94.22268430003896,,,,,,,,,,,,,,,,,,,,97.9094885000959,97.92252820008434,98.40656829997897,98.43924480001442,94.21503449999727,94.22268430003896,94.39079069998115,97.90937160002068,Zee520.jpg,Plan 1,1,3.503509699832648,None,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
3,0,3,,,,2,2.6248450002167374,None,,,,,,,,,,,3,0,3,0,,,,,,,,,98.43924480001442,,,,,,,,,,,,,,,,,,,,101.25586750009097,101.27112630009651,101.75706529989839,,98.42561560007744,98.43924480001442,98.62404599995352,101.25575069990009,SonyLiv20.jpg,Plan 2,2,2.6248450002167374,None,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
4,0,4,,,,2,4.37486319988966,None,,,,,,,,,,,4,0,4,0,,,,,,,,,101.78882739995606,,,,,,,,,,,,,,,,,,,,106.33987400005572,106.35306959995069,106.8387060998939,106.87100040004589,101.78009249991737,101.78882739995606,101.95638610003516,106.33971540001221,AppleOne20.jpg,Plan 2,2,4.37486319988966,None,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
5,0,5,,,,3,4.367281199898571,None,,,,,,,,,,,5,0,5,0,,,,,,,,,106.87100040004589,,,,,,,,,,,,,,,,,,,,111.42307169991545,111.43780720001087,111.92264380003326,111.96923750010319,106.86091660009697,106.87100040004589,107.04063789988868,111.4228781000711,Crunchyroll20.jpg,Plan 3,3,4.367281199898571,None,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9588536999654,111.96923750010319,112.43652010010555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
0,0,0,,,,,,,2,5.056766000110656,None,,,,,,,,,,,,0,0,0,0,,,,,112.46889410004951,,,,,,,,,,,,,,,,,,,,117.70330079994164,117.7178013001103,118.20269030006602,118.23532360000536,,,,,,,,,,112.45646709995344,112.46889410004951,112.63642159989104,117.70313700009137,AppleOne30.jpg,Plan 2,2,5.056766000110656,None,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
1,0,1,,,,,,,2,7.09293120005168,None,,,,,,,,,,,,1,0,1,0,,,,,118.23532360000536,,,,,,,,,,,,,,,,,,,,125.5202878001146,125.53525319998153,126.0336974998936,,,,,,,,,,,118.22545120003633,118.23532360000536,118.42141530010849,125.52016420010477,Netflix30.jpg,Plan 2,2,7.09293120005168,None,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
2,0,2,,,,,,,3,8.536067799897864,None,,,,,,,,,,,,2,0,2,0,,,,,126.06553740007803,,,,,,,,,,,,,,,,,,,,134.78436940000392,134.79865960008465,135.28321640007198,135.3161549998913,,,,,,,,,,126.0588962000329,126.06553740007803,126.23570260009728,134.78420330001973,SonyLiv30.jpg,Plan 3,3,8.536067799897864,None,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
3,0,3,,,,,,,2,3.2571375998668373,None,,,,,,,,,,,,3,0,3,0,,,,,135.3161549998913,,,,,,,,,,,,,,,,,,,,138.76928479992785,138.78184500010684,139.27986359992065,,,,,,,,,,,135.2985755999107,135.3161549998913,135.49922659993172,138.76914429990575,Crunchyroll30.jpg,Plan 2,2,3.2571375998668373,None,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
4,0,4,,,,,,,2,9.677003000164405,None,,,,,,,,,,,,4,0,4,0,,,,,139.31513649993576,,,,,,,,,,,,,,,,,,,,149.16650970000774,149.17915380001068,149.66281419992447,149.69459350011311,,,,,,,,,,139.306809599977,139.31513649993576,139.4832450998947,149.1663156999275,Hotstar30.jpg,Plan 2,2,9.677003000164405,None,,,,,,,,,,,,,,,,,21000,001,2025-04-02_18h16.11.861,RES501,2024.2.4,60.81911177555006,2025-04-02 18h16.26.165326 +0530,
