thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01758310013,0.03590909997,2.0514437,2.1007564,3.0014059,50.9786572,space,47.9614783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
0,0,0,3,76.0726171,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,51.0382029,,,,,,,,,,,51.0140026,51.0382029,51.1901333,127.2706202,SonyLivControl.jpg,Plan 3,3,76.0726171,None,127.2708147,127.2840963,127.8037799,127.7676983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
1,0,1,1,46.7589234,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,127.8037799,,,,,,,,,,,127.7908514,127.8037799,127.9848165,174.7590931,CrunchyrollControl.jpg,Plan 1,1,46.7589234,None,174.7592382,174.7728396,175.3228308,175.256978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
2,0,2,3,37.7403805,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,175.3228308,,,,,,,,,,,175.310114,175.3228308,175.4737971,213.2233465,HotstarControl.jpg,Plan 3,3,37.7403805,None,213.2234872,213.2371253,213.7863423,213.7217422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
3,0,3,1,59.2713169,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,213.7863423,,,,,,,,,,,213.7635797,213.7863423,213.9369551,273.2185969,AppleOneControl.jpg,Plan 1,1,59.2713169,None,273.2187679,273.2311154,273.7482316,273.7153481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
4,0,4,4,54.1252779,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,273.7482316,,,,,,,,,,,273.7337077,273.7482316,273.9320987,328.0658292,NetflixControl.jpg,Plan 4,4,54.1252779,None,328.0659201,328.0794192,328.5970297,328.5640154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
5,0,5,2,17.7185788,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,328.5970297,,,,,,,,,,,328.5735675,328.5970297,328.7809663,346.5151433,Zee5Control.jpg,Plan 2,2,17.7185788,None,346.5153512,346.5293761,347.0291255,347.0139144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0140622,347.0291255,347.5614706,347.5136489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
0,0,0,,,,3,11.9319728,None,,,,,,,,,,,0,0,0,0,,,,,,,,,347.5614706,,,,,,,,,,,,,,,,,,,,359.6702837,359.683802,360.2001176,360.168095,347.5414426,347.5614706,347.729474,359.670076,SonyLiv20.jpg,Plan 3,3,11.9319728,None,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
1,0,1,,,,4,7.5888455,None,,,,,,,,,,,1,0,1,0,,,,,,,,,360.2001176,,,,,,,,,,,,,,,,,,,,367.9640542,367.9759279,368.4918395,368.4599798,360.1824902,360.2001176,360.3670669,367.9639124,Netflix20.jpg,Plan 4,4,7.5888455,None,,,,,,,,,,,,,,,,,,,,,,,,,,57318,1,2025-03-26_15h12.36.615,RES501,2024.2.4,59.09903519,2025-03-26 15h12.43.692364 +0530
