thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014708300004713237,0.03288620000239462,2.034816800005501,2.1014483000035398,3.002720600023167,42.41592360002687,space,39.40576650001458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
0,0,0,4,31.482283799996367,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,42.53067860001465,,,,,,,,,,,42.494882300001336,42.53067860001465,42.61628450002172,74.10357790000853,NetflixControl.jpg,Plan 4,4,31.482283799996367,None,74.10393980002846,74.11598860000959,74.64981080000871,74.60100170000806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
1,0,1,1,45.53540780002368,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,74.64981080000871,,,,,,,,,,,74.64177820002078,74.64981080000871,74.81642350001493,120.35537370000384,HotstarControl.jpg,Plan 1,1,45.53540780002368,None,120.35555320000276,120.36678060001577,120.93347090002499,120.85167950001778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
2,0,2,2,36.58662750001531,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,120.93347090002499,,,,,,,,,,,120.91085400001612,120.93347090002499,121.06771950001712,157.6617148000223,AppleOneControl.jpg,Plan 2,2,36.58662750001531,None,157.6620186000073,157.67515090000234,158.22534660002566,158.15935970001738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
3,0,3,3,8.09343509998871,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,158.22534660002566,,,,,,,,,,,158.2165032000048,158.22534660002566,158.37605000002077,166.48701070001698,SonyLivControl.jpg,Plan 3,3,8.09343509998871,None,166.48721390002174,166.50110510000377,167.05232020001858,166.98555620000116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
4,0,4,3,24.619519900006708,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,167.05232020001858,,,,,,,,,,,167.0358005000162,167.05232020001858,167.203179300006,191.83233460001065,CrunchyrollControl.jpg,Plan 3,3,24.619519900006708,None,191.8325477000035,191.8459533000132,192.39724990000832,192.3304719000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
5,0,5,1,15.341141200013226,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,192.39724990000832,,,,,,,,,,,192.37326740002027,192.39724990000832,192.54829520001658,207.90009610002744,Zee5Control.jpg,Plan 1,1,15.341141200013226,None,207.90034010002273,207.91281530002016,208.52792780002346,208.39813150002738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.52175540002645,208.52792780002346,,208.91435910001746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
0,0,0,,,,2,15.072065799991833,None,,,,,,,,,,,0,0,0,0,,,,,,,,,208.98117980000097,,,,,,,,,,,,,,,,,,,,224.20186980001745,224.2146249000216,224.74810930000967,224.69823310000356,208.9583918999997,208.98117980000097,209.11626660000184,224.20158510000329,Hotstar20.jpg,Plan 2,2,15.072065799991833,None,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
1,0,1,,,,2,17.953127699991455,None,,,,,,,,,,,1,0,1,0,,,,,,,,,224.74810930000967,,,,,,,,,,,,,,,,,,,,242.88628560001962,242.90027800001553,243.45152190001681,243.38591160002397,224.7299935000192,224.74810930000967,224.91665300002205,242.8861457000021,Netflix20.jpg,Plan 2,2,17.953127699991455,None,,,,,,,,,,,,,,,,,,,,,,,,,,66353,001,2025-04-01_17h22.53.672,RES501,2024.2.4,60.20201387764929,2025-04-01 17h23.04.035481 +0530,
