thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007991099962964654,0.026108399964869022,2.026443500071764,2.1093346001580358,3.008978100027889,4.129460399970412,space,1.1016665999777615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
0,0,0,2,2.7656450998038054,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,4.197448899969459,,,,,,,,,,,4.136620900128037,4.197448899969459,4.342935400083661,7.110633100150153,Zee5Control.jpg,Plan 2,2,2.7656450998038054,None,7.110781900119036,7.127807199954987,7.624436300015077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
1,0,1,3,2.3340622999239713,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,7.658274700166658,,,,,,,,,,,7.6436767999548465,7.658274700166658,7.8090907000005245,10.15847699996084,SonyLivControl.jpg,Plan 3,3,2.3340622999239713,None,10.158559600124136,10.173864800017327,10.657238400075585,10.674281400162727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
2,0,2,2,2.9649892000015825,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,10.674281400162727,,,,,,,,,,,10.667248500045389,10.674281400162727,10.858776499982923,13.824932500021532,NetflixControl.jpg,Plan 2,2,2.9649892000015825,None,13.825048299971968,13.839875099947676,14.324749000137672,14.35561370011419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
3,0,3,2,3.878519299905747,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,14.35561370011419,,,,,,,,,,,14.347610400058329,14.35561370011419,14.524657200090587,18.408213400049135,AppleOneControl.jpg,Plan 2,2,3.878519299905747,None,18.408357799984515,18.42237660009414,18.906945399940014,18.939441200112924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
4,0,4,2,3.515556100057438,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,18.939441200112924,,,,,,,,,,,18.919732599984854,18.939441200112924,19.123462800169364,22.640415500150993,CrunchyrollControl.jpg,Plan 2,2,3.515556100057438,None,22.640555100049824,22.654287999961525,23.139051700010896,23.172643200028688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
5,0,5,1,3.1681542999576777,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,23.172643200028688,,,,,,,,,,,23.156358600128442,23.172643200028688,23.339795400155708,26.522368600126356,HotstarControl.jpg,Plan 1,1,3.1681542999576777,None,26.52250980003737,26.53698410000652,27.02242080005817,27.06951620010659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.057863800087944,27.06951620010659,27.53781839995645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
0,0,0,,,,3,2.7609917998779565,None,,,,,,,,,,,0,0,0,0,,,,,,,,,27.570227900054306,,,,,,,,,,,,,,,,,,,,30.505624799989164,30.519843900110573,31.004375600023195,31.03623010008596,27.55419320007786,27.570227900054306,27.737169800093397,30.505462100030854,SonyLiv20.jpg,Plan 3,3,2.7609917998779565,None,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
1,0,1,,,,1,3.1412021999713033,None,,,,,,,,,,,1,0,1,0,,,,,,,,,31.03623010008596,,,,,,,,,,,,,,,,,,,,34.373072900110856,34.386551700066775,34.87071239994839,34.901905900100246,31.0180357999634,31.03623010008596,31.220721899997443,34.372922600014135,Hotstar20.jpg,Plan 1,1,3.1412021999713033,None,,,,,,,,,,,,,,,,,,,,,,,,,,88863,001,2025-04-02_18h32.00.899,RES501,2024.2.4,60.37695748489233,2025-04-02 18h33.32.345318 +0530,
