thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0387379,0.0533392,2.0667663,2.0995849,3.0162045,17.0453005,space,14.0035538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
0,0,0,2,25.8377444,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,17.1359694,,,,,,,,,,,17.0749717,17.1359694,17.2521567,43.0985688,HotstarControl.jpg,Plan 2,2,25.8377444,None,43.0987347,43.1110077,43.6448301,43.5947682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
1,0,1,1,25.3905528,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,43.6448301,,,,,,,,,,,43.6315748,43.6448301,43.8118418,69.2073111,CrunchyrollControl.jpg,Plan 1,1,25.3905528,None,69.207464,69.2199133,69.7518514,69.7050756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
2,0,2,2,19.4671328,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,69.7518514,,,,,,,,,,,69.7302087,69.7518514,69.9207698,89.4034578,AppleOneControl.jpg,Plan 2,2,19.4671328,None,89.403624,89.4177597,89.9347257,89.9016728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
3,0,3,2,4.642024,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,89.9347257,,,,,,,,,,,89.9234737,89.9347257,90.1193535,94.7655668,NetflixControl.jpg,Plan 2,2,4.642024,None,94.7656689,94.7788111,95.2948075,95.2635274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
4,0,4,1,14.781275,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,95.2948075,,,,,,,,,,,95.2842482,95.2948075,95.4799675,110.2687229,SonyLivControl.jpg,Plan 1,1,14.781275,None,110.2688859,110.2812965,110.7981756,110.766173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
5,0,5,2,35.3669994,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,110.7981756,,,,,,,,,,,110.7879323,110.7981756,110.9827056,146.3526631,Zee5Control.jpg,Plan 2,2,35.3669994,None,146.3528332,146.3644157,146.9282315,146.8485607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.909737,146.9282315,,147.3638996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
0,0,0,,,,2,12.2850923,None,,,,,,,,,,,0,0,0,0,,,,,,,,,147.3960846,,,,,,,,,,,,,,,,,,,,159.8555416,159.8687577,160.4018096,160.3526574,147.3856519,147.3960846,147.5649859,159.8553956,AppleOne20.jpg,Plan 2,2,12.2850923,None,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
1,0,1,,,,2,15.2426927,None,,,,,,,,,,,1,0,1,0,,,,,,,,,160.4018096,,,,,,,,,,,,,,,,,,,,175.823781,175.8373146,176.3695632,176.3216272,160.3811088,160.4018096,160.5691055,175.8234475,Netflix20.jpg,Plan 2,2,15.2426927,None,,,,,,,,,,,,,,,,,,,,,,,,,,54458,1,2025-03-26_12h55.09.370,RES501,2024.2.4,60.62634284,2025-03-26 12h55.23.064902 +0530
