thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
2,0,2,,,,2,21.19509,None,,,,,,,,,,,2,0,2,0,,,,,,,,,515.3582246,,,,,,,,,,,,,,,,,,,,536.6780406,536.6977045,537.1848376,,515.3352482,515.3582246,515.4762521,536.6778029,Zee520.jpg,Plan 2,2,21.19509,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
3,0,3,,,,3,16.2981145,None,,,,,,,,,,,3,0,3,0,,,,,,,,,537.2510221,,,,,,,,,,,,,,,,,,,,553.7059429,553.7289259,554.2225929,,537.2265057,537.2510221,537.3982968,553.7055846,Netflix20.jpg,Plan 3,3,16.2981145,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
4,0,4,,,,1,18.2321943,None,,,,,,,,,,,4,0,4,0,,,,,,,,,554.2901197,,,,,,,,,,,,,,,,,,,,572.6753321,572.6880244,573.174048,573.2382907,554.2699693,554.2901197,554.4179802,572.6752085,Crunchyroll20.jpg,Plan 3,3,18.2321943,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
5,0,5,,,,3,17.3569147,None,,,,,,,,,,,5,0,5,0,,,,,,,,,573.2382907,,,,,,,,,,,,,,,,,,,,590.7502708,590.7732674,591.2592187,,573.227727,573.2382907,573.3757835,590.7496766,SonyLiv20.jpg,Plan 3,3,17.3569147,None,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.3830942,591.4068445,591.7586261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
0,0,0,,,,,,,3,53.3147049,None,,,,,,,,,,,,0,0,0,0,,,,,591.8431364,,,,,,,,,,,,,,,,,,,,645.2903099,645.3081084,645.8062833,,,,,,,,,,,591.8197899,591.8431364,591.9638563,645.2899307,Crunchyroll30.jpg,Plan 1,1,53.3147049,None,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
1,0,1,,,,,,,2,14.496142,None,,,,,,,,,,,,1,0,1,0,,,,,645.8849611,,,,,,,,,,,,,,,,,,,,660.4910046,660.501719,660.9875008,661.0493916,,,,,,,,,,645.8728896,645.8849611,645.9869775,660.4908895,SonyLiv30.jpg,Plan 2,2,14.496142,None,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
2,0,2,,,,,,,3,18.5737872,None,,,,,,,,,,,,2,0,2,0,,,,,661.0493916,,,,,,,,,,,,,,,,,,,,679.7967324,679.8226082,680.3067596,,,,,,,,,,,661.0383871,661.0493916,661.204201,679.7961955,Hotstar30.jpg,Plan 3,3,18.5737872,None,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
3,0,3,,,,,,,1,27.5836387,None,,,,,,,,,,,,3,0,3,0,,,,,680.3879395,,,,,,,,,,,,,,,,,,,,708.0809679,708.0989125,708.5963546,,,,,,,,,,,680.3735093,680.3879395,680.4910096,708.0802263,Zee530.jpg,Plan 1,1,27.5836387,None,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
4,0,4,,,,,,,4,20.7396723,None,,,,,,,,,,,,4,0,4,0,,,,,708.6697728,,,,,,,,,,,,,,,,,,,,729.5508197,729.5639567,730.0657144,,,,,,,,,,,708.6527473,708.6697728,708.7950589,729.550667,Netflix30.jpg,Plan 4,4,20.7396723,None,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
5,0,5,,,,,,,2,15.0457099,None,,,,,,,,,,,,5,0,5,0,,,,,730.1339257,,,,,,,,,,,,,,,,,,,,745.3132548,745.332138,745.8139933,,,,,,,,,,,730.1038366,730.1339257,730.2661937,745.3131432,AppleOne30.jpg,Plan 2,2,15.0457099,None,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.9130405,745.9256679,746.3145548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
0,0,0,,,,,,,,,,3,33.2186729,None,,,,,,,,,,,,,0,0,0,0,746.3995323,,,,,,,,,,,,,,,,,,,,779.7411105,779.7624374,780.2574203,,,,,,,,,,,,,,,,,,,,746.3782349,746.3995323,746.5171655,779.7394303,HotstarBundling.jpg,Plan 3,3,33.2186729,None,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
1,0,1,,,,,,,,,,4,15.6039228,None,,,,,,,,,,,,,1,0,1,0,780.3325789,,,,,,,,,,,,,,,,,,,,796.0737105,796.096549,796.5845399,,,,,,,,,,,,,,,,,,,,780.3157498,780.3325789,780.4568244,796.0734705,NetflixBundling.jpg,Plan 4,4,15.6039228,None,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
2,0,2,,,,,,,,,,1,20.5728437,None,,,,,,,,,,,,,2,0,2,0,796.6492463,,,,,,,,,,,,,,,,,,,,817.3782928,817.3940179,817.895298,,,,,,,,,,,,,,,,,,,,796.6379404,796.6492463,796.7783007,817.378046,Zee5Bundling.jpg,Plan 1,1,20.5728437,None,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
3,0,3,,,,,,,,,,1,5.4124131,None,,,,,,,,,,,,,3,0,3,0,817.9738669,,,,,,,,,,,,,,,,,,,,823.5186064,823.5301898,824.0155347,824.081804,,,,,,,,,,,,,,,,,,,817.9604184,817.9738669,818.0759614,823.5184167,CrunchyrollBundling.jpg,Plan 1,1,5.4124131,None,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
4,0,4,,,,,,,,,,2,20.6469259,None,,,,,,,,,,,,,4,0,4,0,824.081804,,,,,,,,,,,,,,,,,,,,844.895605,844.9215246,845.4097513,,,,,,,,,,,,,,,,,,,,824.0547718,824.081804,824.2429131,844.8954369,AppleOneBundling.jpg,Plan 2,2,20.6469259,None,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
5,0,5,,,,,,,,,,3,17.2792708,None,,,,,,,,,,,,,5,0,5,0,845.4741083,,,,,,,,,,,,,,,,,,,,862.8957823,862.9079766,863.3991755,,,,,,,,,,,,,,,,,,,,845.4617545,845.4741083,845.5960212,862.8956714,SonyLivBundling.jpg,Plan 3,3,17.2792708,None,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.4892015,863.506308,863.9145342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.9146989,863.9410767,864.9136852,865.4945981,space,0.5713359,None,42015,1,2025-03-28_18h23.45.634,RES501,2024.2.4,60.17071636,2025-03-28 18h26.55.583409 +0530
