thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01625520014204085,0.034689499996602535,2.0340208001434803,2.1005857000127435,3.001105400035158,5.137415700126439,space,2.118605599971488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
0,0,0,3,5.018200499936938,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,5.206608399981633,,,,,,,,,,,5.152239100076258,5.206608399981633,5.350538100115955,10.382323099998757,SonyLivControl.jpg,Plan 3,3,5.018200499936938,None,10.382397999987006,10.397887200117111,10.882576000178233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
1,0,1,1,3.7853763999883085,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,10.91496600001119,,,,,,,,,,,10.899472600081936,10.91496600001119,11.082573200110346,14.883849499979988,Zee5Control.jpg,Plan 1,1,3.7853763999883085,None,14.883982100058347,14.89772200002335,15.382560000056401,15.413857500068843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
2,0,2,2,2.9164131998550147,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,15.413857500068843,,,,,,,,,,,15.392744299955666,15.413857500068843,15.598674200009555,18.51639510015957,AppleOneControl.jpg,Plan 2,2,2.9164131998550147,None,18.516552800079808,18.530055500101298,19.014395400183275,19.047430300153792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
3,0,3,2,2.3826997000724077,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,19.047430300153792,,,,,,,,,,,19.040203200187534,19.047430300153792,19.231177299981937,21.616158799966797,NetflixControl.jpg,Plan 2,2,2.3826997000724077,None,21.616328899981454,21.630251200171188,22.130210099974647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
4,0,4,2,4.140523500042036,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,22.16245250008069,,,,,,,,,,,22.157119400100783,22.16245250008069,22.330314200138673,26.48054670006968,CrunchyrollControl.jpg,Plan 2,2,4.140523500042036,None,26.48069820017554,26.494690400082618,26.980099700158462,27.012587600154802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
5,0,5,3,4.686192600056529,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,27.012587600154802,,,,,,,,,,,26.99611350009218,27.012587600154802,27.194786600070074,31.89552030013874,HotstarControl.jpg,Plan 3,3,4.686192600056529,None,31.895657500019297,31.910441900137812,32.39471719996072,32.442128400085494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.42692900006659,32.442128400085494,32.91119440016337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
0,0,0,,,,3,5.868834699969739,None,,,,,,,,,,,0,0,0,0,,,,,,,,,32.94358110008761,,,,,,,,,,,,,,,,,,,,38.993486599996686,39.008338700048625,39.49256490007974,39.524961000075564,32.92891650018282,32.94358110008761,33.11046029999852,38.993381100008264,Netflix20.jpg,Plan 3,3,5.868834699969739,None,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
1,0,1,,,,2,4.787564600119367,None,,,,,,,,,,,1,0,1,0,,,,,,,,,39.524961000075564,,,,,,,,,,,,,,,,,,,,44.49265899998136,44.50786720006727,44.9922227000352,45.02454700018279,39.51405110000633,39.524961000075564,39.69291490013711,44.4925459001679,AppleOne20.jpg,Plan 2,2,4.787564600119367,None,,,,,,,,,,,,,,,,,,,,,,,,,,31914,001,2025-04-02_18h35.27.383,RES501,2024.2.4,59.652559680270954,2025-04-02 18h35.39.252916 +0530,
