thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04813400001148693,0.09278316600830294,2.0895166250120383,2.0971044580073794,2.996231875004014,24.900360166007886,space,21.897657541994704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
0,0,0,2,35.819456124998396,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,24.978404708002927,,,,,,,,,,,24.952220208011568,24.978404708002927,25.096694375009974,60.932055208002566,AppleOneControl.jpg,Plan 2,2,35.819456124998396,None,60.9338535410061,60.98680404100742,61.441879208010505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
1,0,1,3,26.685707500000717,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,61.50650316600513,,,,,,,,,,,61.49446379100846,61.50650316600513,61.631515458007925,88.33031208300963,NetflixControl.jpg,Plan 3,3,26.685707500000717,None,88.3308699580084,88.34220441601065,88.82663037501334,88.86347562501032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
2,0,2,3,7.514075790997595,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,88.86347562501032,,,,,,,,,,,88.85563904100854,88.86347562501032,89.02555191601277,96.54453570800251,Zee5Control.jpg,Plan 3,3,7.514075790997595,None,96.54469491601049,96.55463662500551,97.04348145800759,97.0848828330054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
3,0,3,1,23.154676667007152,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,97.0848828330054,,,,,,,,,,,97.0773935830075,97.0848828330054,97.24235416601005,120.40246145801211,CrunchyrollControl.jpg,Plan 1,1,23.154676667007152,None,120.40269895800157,120.41410066600656,120.8990808330127,120.95427783300693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
4,0,4,2,26.32036795800377,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,120.95427783300693,,,,,,,,,,,120.94639625000127,120.95427783300693,121.09974379101186,147.42996558301093,SonyLivControl.jpg,Plan 2,2,26.32036795800377,None,147.43032329100242,147.43844712500868,147.9280420000141,147.96255641600874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
5,0,5,3,65.75540741700388,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,147.96255641600874,,,,,,,,,,,147.95580470800633,147.96255641600874,148.12745258300856,213.891864041012,HotstarControl.jpg,Plan 3,3,65.75540741700388,None,213.89262245800637,213.90773850001278,214.39648345801106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.3968210410094,214.4020358750131,214.8855545000115,214.93384945800062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
0,0,0,,,,2,25.198458209008095,None,,,,,,,,,,,0,0,0,0,,,,,,,,,214.93384945800062,,,,,,,,,,,,,,,,,,,,240.2902114160097,240.30186520800635,240.78658854101377,240.82860433300084,214.9222612910089,214.93384945800062,215.08572804101277,240.29005391600367,AppleOne20.jpg,Plan 2,2,25.198458209008095,None,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
1,0,1,,,,1,1.6807788330042968,None,,,,,,,,,,,1,0,1,0,,,,,,,,,240.82860433300084,,,,,,,,,,,,,,,,,,,,242.67236950001097,242.69708950001223,243.18044729100075,,240.82165983300365,240.82860433300084,240.98668254101358,242.6722310000041,Crunchyroll20.jpg,Plan 1,1,1.6807788330042968,None,,,,,,,,,,,,,,,,,,,,,,,,,,14851,001,2025-03-27_17h40.16.137,RES501,2024.2.4,119.59183307042403,2025-03-27 17h40.37.148696 +0530,
