thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
2,0,2,,,,3,3.1313121,None,,,,,,,,,,,2,0,2,0,,,,,,,,,72.0262111,,,,,,,,,,,,,,,,,,,,75.3568129,75.370994,75.8887525,75.8545209,72.0170642,72.0262111,72.2077001,75.3566629,Crunchyroll20.jpg,Plan 3,3,3.1313121,None,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
3,0,3,,,,3,9.3426508,None,,,,,,,,,,,3,0,3,0,,,,,,,,,75.8887525,,,,,,,,,,,,,,,,,,,,85.4304711,85.4444664,85.9607259,85.928419,75.8697904,75.8887525,76.0707311,85.4303688,Netflix20.jpg,Plan 3,3,9.3426508,None,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
4,0,4,,,,2,2.0541675,None,,,,,,,,,,,4,0,4,0,,,,,,,,,85.9607259,,,,,,,,,,,,,,,,,,,,88.2105984,88.2249848,88.7427478,88.7086687,85.9414717,85.9607259,86.1445027,88.2105268,AppleOne20.jpg,Plan 2,2,2.0541675,None,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
5,0,5,,,,1,2.460204,None,,,,,,,,,,,5,0,5,0,,,,,,,,,88.7427478,,,,,,,,,,,,,,,,,,,,91.3912244,91.4055911,91.9050959,91.8893322,88.7242004,88.7427478,88.9257035,91.3911288,Zee520.jpg,Plan 1,1,2.460204,None,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8893902,91.9050959,92.4225211,92.3921735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
0,0,0,,,,,,,2,2.142512,None,,,,,,,,,,,,0,0,0,0,,,,,92.4225211,,,,,,,,,,,,,,,,,,,,94.7568032,94.7698821,95.2856621,95.2551595,,,,,,,,,,92.408902,92.4225211,92.6063759,94.7566464,SonyLiv30.jpg,Plan 2,2,2.142512,None,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
1,0,1,,,,,,,1,2.9424291,None,,,,,,,,,,,,1,0,1,0,,,,,95.2856621,,,,,,,,,,,,,,,,,,,,98.4194097,98.4329164,98.9500958,98.917175,,,,,,,,,,95.2723407,95.2856621,95.4701448,98.4192536,Zee530.jpg,Plan 1,1,2.9424291,None,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
2,0,2,,,,,,,3,4.0987883,None,,,,,,,,,,,,2,0,2,0,,,,,98.9500958,,,,,,,,,,,,,,,,,,,,103.2487794,103.2619096,103.7793172,103.7461506,,,,,,,,,,98.9353454,98.9500958,99.1338839,103.2485952,Crunchyroll30.jpg,Plan 3,3,4.0987883,None,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
3,0,3,,,,,,,3,3.5278687,None,,,,,,,,,,,,3,0,3,0,,,,,103.7793172,,,,,,,,,,,,,,,,,,,,107.4948144,107.5076284,108.0257466,107.9919503,,,,,,,,,,103.760016,103.7793172,103.9624995,107.4946614,Netflix30.jpg,Plan 3,3,3.5278687,None,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
4,0,4,,,,,,,2,1.0911582,None,,,,,,,,,,,,4,0,4,0,,,,,108.0257466,,,,,,,,,,,,,,,,,,,,109.3092911,109.322759,109.840188,109.8074113,,,,,,,,,,108.0037703,108.0257466,108.208175,109.3091193,AppleOne30.jpg,Plan 2,2,1.0911582,None,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
5,0,5,,,,,,,3,2.6617727,None,,,,,,,,,,,,5,0,5,0,,,,,109.840188,,,,,,,,,,,,,,,,,,,,112.6899114,112.7036226,,113.203389,,,,,,,,,,109.8239677,109.840188,110.0236141,112.6897322,Hotstar30.jpg,Plan 3,3,2.6617727,None,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.2035482,113.2197132,,113.7030369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
0,0,0,,,,,,,,,,3,14.0878353,None,,,,,,,,,,,,,0,0,0,0,113.7363511,,,,,,,,,,,,,,,,,,,,127.9941937,128.0052526,128.5217247,128.489211,,,,,,,,,,,,,,,,,,,113.7182658,113.7363511,113.9028109,127.9940181,SonyLivBundling.jpg,Plan 3,3,14.0878353,None,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
1,0,1,,,,,,,,,,3,2.1759717,None,,,,,,,,,,,,,1,0,1,0,128.5217247,,,,,,,,,,,,,,,,,,,,130.8902119,130.9028561,,131.402943,,,,,,,,,,,,,,,,,,,128.5051898,128.5217247,128.7060317,130.8900025,HotstarBundling.jpg,Plan 3,3,2.1759717,None,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
2,0,2,,,,,,,,,,2,2.8762301,None,,,,,,,,,,,,,2,0,2,0,131.4351696,,,,,,,,,,,,,,,,,,,,134.4854669,134.4992212,135.0161981,134.9836939,,,,,,,,,,,,,,,,,,,131.4231558,131.4351696,131.6031421,134.4852948,AppleOneBundling.jpg,Plan 2,2,2.8762301,None,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
3,0,3,,,,,,,,,,1,1.5729473,None,,,,,,,,,,,,,3,0,3,0,135.0161981,,,,,,,,,,,,,,,,,,,,136.7830513,136.7971741,137.3140574,137.281776,,,,,,,,,,,,,,,,,,,134.9976223,135.0161981,135.2007915,136.7828745,Zee5Bundling.jpg,Plan 1,1,1.5729473,None,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
4,0,4,,,,,,,,,,2,1.8114751,None,,,,,,,,,,,,,4,0,4,0,137.3140574,,,,,,,,,,,,,,,,,,,,139.3154239,139.3283344,139.8458191,139.8126391,,,,,,,,,,,,,,,,,,,137.2962527,137.3140574,137.4977175,139.3152595,CrunchyrollBundling.jpg,Plan 2,2,1.8114751,None,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
5,0,5,,,,,,,,,,4,3.0725688,None,,,,,,,,,,,,,5,0,5,0,139.8458191,,,,,,,,,,,,,,,,,,,,143.1110496,143.1245166,143.6247507,143.6092477,,,,,,,,,,,,,,,,,,,139.8325816,139.8458191,140.0290403,143.1108434,NetflixBundling.jpg,Plan 4,4,3.0725688,None,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.6094208,143.6247507,144.1237722,144.10946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.1095317,144.1237722,145.1236041,1603.302142,space,1458.170178,None,54918,1,2025-03-26_14h29.11.396,RES501,2024.2.4,60.67824931,2025-03-26 14h29.16.959523 +0530
