thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00812430000223685,0.03086020000046119,2.0619752000056906,2.133918599996832,3.0058103000046685,58.077883799996926,space,54.94474029999401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
0,0,0,1,29.249651999998605,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,58.2130046000093,,,,,,,,,,,58.14945880000596,58.2130046000093,58.299402900011046,87.55445619999955,SonyLivControl.jpg,Plan 1,1,29.249651999998605,None,87.55481200000213,87.57349799999793,88.06493690000207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
1,0,1,1,25.279341999994358,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,88.15950740000699,,,,,,,,,,,88.13260050000099,88.15950740000699,88.2820214000094,113.58776940000826,AppleOneControl.jpg,Plan 1,1,25.279341999994358,None,113.58807050000178,113.6071254999988,114.10240709999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
2,0,2,1,34.10171949998767,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,114.20704809999734,,,,,,,,,,,114.17890410000109,114.20704809999734,114.29583770000318,148.42089190000843,Zee5Control.jpg,Plan 1,1,34.10171949998767,None,148.42121890001,148.44466680000187,148.92687399999704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
3,0,3,1,31.989962799998466,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,149.02745370000775,,,,,,,,,,,149.0045211000106,149.02745370000775,149.14376880000054,181.15097770000284,CrunchyrollControl.jpg,Plan 1,1,31.989962799998466,None,181.15114000000176,181.1762250000029,181.66427680000197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
4,0,4,2,33.13161379999656,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,181.75051240000175,,,,,,,,,,,181.73363560000143,181.75051240000175,181.86571480000566,215.01238600000215,HotstarControl.jpg,Plan 2,2,33.13161379999656,None,215.01266150000447,215.03201540000737,215.52354750000814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
5,0,5,2,14.940222699995502,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,215.58110219999799,,,,,,,,,,,215.57157500000903,215.58110219999799,215.71878560000914,230.6832463000028,NetflixControl.jpg,Plan 2,2,14.940222699995502,None,230.683494900004,230.69871510000667,231.18418460000248,231.39978020000854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.38518399999884,231.39978020000854,231.6899073000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
0,0,0,,,,1,27.665067000009003,None,,,,,,,,,,,0,0,0,0,,,,,,,,,231.78808340000978,,,,,,,,,,,,,,,,,,,,259.55838820000645,259.5793094999972,260.0697069000016,,231.7576451000059,231.78808340000978,231.88738240000384,259.5580849000107,Hotstar20.jpg,Plan 1,1,27.665067000009003,None,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
1,0,1,,,,2,11.676068200002192,None,,,,,,,,,,,1,0,1,0,,,,,,,,,260.13094100001035,,,,,,,,,,,,,,,,,,,,271.96937869999965,271.99511899999925,272.48088870001084,,260.1203217000002,260.13094100001035,260.2742612000002,271.96926130000793,SonyLiv20.jpg,Plan 2,2,11.676068200002192,None,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
2,0,2,,,,1,18.809135100003914,None,,,,,,,,,,,2,0,2,0,,,,,,,,,272.56051700000535,,,,,,,,,,,,,,,,,,,,291.51219150000543,291.53133840000373,292.0328939000028,,272.5403895000054,272.56051700000535,272.6887243000092,291.5118533000059,Zee520.jpg,Plan 1,1,18.809135100003914,None,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
3,0,3,,,,2,21.12999350001337,None,,,,,,,,,,,3,0,3,0,,,,,,,,,292.1021760000003,,,,,,,,,,,,,,,,,,,,313.36559460000717,313.3905001000094,313.89190390000294,,292.0881897000072,292.1021760000003,292.22495050000725,313.3651724000083,AppleOne20.jpg,Plan 2,2,21.12999350001337,None,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
4,0,4,,,,2,5.490784300011001,None,,,,,,,,,,,4,0,4,0,,,,,,,,,314.01013840000087,,,,,,,,,,,,,,,,,,,,319.58519720000913,319.60178219999943,320.1017186000099,,313.99286559999746,314.01013840000087,314.0907989999978,319.58500380000623,Netflix20.jpg,Plan 2,2,5.490784300011001,None,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
5,0,5,,,,1,10.668954900000244,None,,,,,,,,,,,5,0,5,0,,,,,,,,,320.21794500001124,,,,,,,,,,,,,,,,,,,,330.9760161000013,330.99375229999714,331.49283610000566,,320.18858770000224,320.21794500001124,320.30044360000466,330.975425800003,Crunchyroll20.jpg,Plan 1,1,10.668954900000244,None,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.65596060000826,331.67912310000975,331.99873160000425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
0,0,0,,,,,,,1,14.440064399997937,None,,,,,,,,,,,,0,0,0,0,,,,,332.0612354000041,,,,,,,,,,,,,,,,,,,,346.64985909999814,346.6743073000107,347.1666131000093,,,,,,,,,,,332.04506499999843,332.0612354000041,332.19725350000954,346.6493730000075,Zee530.jpg,Plan 1,1,14.440064399997937,None,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
1,0,1,,,,,,,4,3.6730867000005674,None,,,,,,,,,,,,1,0,1,0,,,,,347.2822613000026,,,,,,,,,,,,,,,,,,,,351.0358075000113,351.04971600000863,351.5351190000074,351.60741700000654,,,,,,,,,,347.2628846000007,347.2822613000026,347.3518963000097,351.03563209999993,Netflix30.jpg,Plan 4,4,3.6730867000005674,None,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
2,0,2,,,,,,,1,2.560817699995823,None,,,,,,,,,,,,2,0,2,0,,,,,351.60741700000654,,,,,,,,,,,,,,,,,,,,354.31800920001115,354.3323939000111,354.81617070001084,354.90824930000235,,,,,,,,,,351.58800250000786,351.60741700000654,351.75105740000436,354.3178601000109,Crunchyroll30.jpg,Plan 1,1,2.560817699995823,None,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
3,0,3,,,,,,,1,4.525888100004522,None,,,,,,,,,,,,3,0,3,0,,,,,354.90824930000235,,,,,,,,,,,,,,,,,,,,359.5860645000066,359.60846109999693,360.0951924999972,,,,,,,,,,,354.8799493999977,354.90824930000235,355.0444778000092,359.58568010000454,AppleOne30.jpg,Plan 1,1,4.525888100004522,None,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
4,0,4,,,,,,,3,8.433182900000247,None,,,,,,,,,,,,4,0,4,0,,,,,360.1634822000051,,,,,,,,,,,,,,,,,,,,368.7755113000021,368.79899670000304,369.28746430001047,,,,,,,,,,,360.14614310000616,360.1634822000051,360.3190337999986,368.7753393000021,Hotstar30.jpg,Plan 3,3,8.433182900000247,None,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
5,0,5,,,,,,,2,14.489433499998995,None,,,,,,,,,,,,5,0,5,0,,,,,369.36905360000674,,,,,,,,,,,,,,,,,,,,383.98890850000316,384.00235920000705,384.4897531000024,384.5981082000071,,,,,,,,,,369.3520453000092,369.36905360000674,369.490838800004,383.9888001000072,SonyLiv30.jpg,Plan 2,2,14.489433499998995,None,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.58525740000186,384.5981082000071,384.9895700000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
0,0,0,,,,,,,,,,1,3.286899500002619,None,,,,,,,,,,,,,0,0,0,0,385.03597620000073,,,,,,,,,,,,,,,,,,,,388.52859180000087,388.5467197000107,389.03025640000124,,,,,,,,,,,,,,,,,,,,385.0231344000058,385.03597620000073,385.220438999997,388.5283388000098,Zee5Bundling.jpg,Plan 1,1,3.286899500002619,None,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
1,0,1,,,,,,,,,,2,37.24932999999146,None,,,,,,,,,,,,,1,0,1,0,389.1443658000062,,,,,,,,,,,,,,,,,,,,426.51385820000723,426.53057600000466,427.0310717000102,,,,,,,,,,,,,,,,,,,,389.11909040001046,389.1443658000062,389.2482969999983,426.5136385000078,NetflixBundling.jpg,Plan 2,2,37.24932999999146,None,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
2,0,2,,,,,,,,,,1,11.001618599999347,None,,,,,,,,,,,,,2,0,2,0,427.1012153000047,,,,,,,,,,,,,,,,,,,,438.23335249999946,438.25959470000817,438.7526511000033,,,,,,,,,,,,,,,,,,,,427.08535290000145,427.1012153000047,427.2215683000104,438.23313100000087,HotstarBundling.jpg,Plan 1,1,11.001618599999347,None,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
3,0,3,,,,,,,,,,1,28.680918099998962,None,,,,,,,,,,,,,3,0,3,0,438.8819383000082,,,,,,,,,,,,,,,,,,,,467.653639000011,467.67617400000745,468.163521200011,,,,,,,,,,,,,,,,,,,,438.8575389000034,438.8819383000082,438.952687099998,467.6534482999996,AppleOneBundling.jpg,Plan 1,1,28.680918099998962,None,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
4,0,4,,,,,,,,,,2,19.9311796999973,None,,,,,,,,,,,,,4,0,4,0,468.251368199999,,,,,,,,,,,,,,,,,,,,488.31703079999716,488.3342028000043,488.820664400002,,,,,,,,,,,,,,,,,,,,468.21939030000067,468.251368199999,468.3683094000007,488.31680600000254,SonyLivBundling.jpg,Plan 2,2,19.9311796999973,None,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
5,0,5,,,,,,,,,,1,8.190738100005547,None,,,,,,,,,,,,,5,0,5,0,488.91897510000854,,,,,,,,,,,,,,,,,,,,497.2475005000015,497.26458339999954,497.76605469999777,,,,,,,,,,,,,,,,,,,,488.90443100000266,488.91897510000854,489.04076280001027,497.2473475000006,CrunchyrollBundling.jpg,Plan 1,1,8.190738100005547,None,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.9147602000012,497.9240009000059,498.25101330000325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.25117879999743,498.27835560000676,499.2526365000085,500.3407498000015,space,1.0753117999993265,None,40273,001,2025-03-29_21h34.38.229,RES501,2024.2.4,None,2025-03-29 21h35.10.641968 +0530,
