thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01324480004,0.03186949994,2.0479562,2.1156439,3.0130185,28.0327685,space,25.0087868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
0,0,0,3,33.9763126,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,28.1058258,,,,,,,,,,,28.0684225,28.1058258,28.2403768,62.2271498,NetflixControl.jpg,Plan 3,3,33.9763126,None,62.2273373,62.2404706,62.7561954,62.7251133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
1,0,1,3,25.7453361,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,62.7561954,,,,,,,,,,,62.7439686,62.7561954,62.9412867,88.7020182,SonyLivControl.jpg,Plan 3,3,25.7453361,None,88.7021654,88.7162023,89.2494273,89.2002572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
2,0,2,3,36.5441635,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,89.2494273,,,,,,,,,,,89.2276438,89.2494273,89.400532,125.950914,CrunchyrollControl.jpg,Plan 3,3,36.5441635,None,125.951072,125.9644915,126.4797863,126.4485082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
3,0,3,2,27.4978245,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,126.4797863,,,,,,,,,,,126.4669468,126.4797863,126.6651438,154.1737936,AppleOneControl.jpg,Plan 2,2,27.4978245,None,154.1739259,154.1878368,154.7049065,154.6721234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
4,0,4,1,23.4920343,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,154.7049065,,,,,,,,,,,154.6890005,154.7049065,154.8887632,178.385476,HotstarControl.jpg,Plan 1,1,23.4920343,None,178.3856571,178.3987601,178.9334496,178.8831367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
5,0,5,1,15.9615555,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,178.9334496,,,,,,,,,,,178.9168409,178.9334496,179.1003342,195.0707623,Zee5Control.jpg,Plan 1,1,15.9615555,None,195.0709543,195.0834827,195.5827692,195.5672528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.5673789,195.5827692,196.1223358,196.0670824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
0,0,0,,,,2,23.7494951,None,,,,,,,,,,,0,0,0,0,,,,,,,,,196.1223358,,,,,,,,,,,,,,,,,,,,220.0454882,220.0594795,220.6082989,220.5430752,196.101308,196.1223358,196.2833843,220.045395,Netflix20.jpg,Plan 2,2,23.7494951,None,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
1,0,1,,,,1,14.7939714,None,,,,,,,,,,,1,0,1,0,,,,,,,,,220.6082989,,,,,,,,,,,,,,,,,,,,235.5666609,235.5786914,236.0954359,236.0627375,220.5900002,220.6082989,220.7594598,235.5664585,Zee520.jpg,Plan 1,1,14.7939714,None,,,,,,,,,,,,,,,,,,,,,,,,,,88693,1,2025-03-26_14h56.29.653,RES501,2024.2.4,59.31922887,2025-03-26 14h56.39.125735 +0530
