thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004482899967115372,0.02237049996620044,2.024415299994871,2.1081775999628007,3.009189200005494,52.09549609996611,space,49.01445999997668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
0,0,0,2,82.10334029997466,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,52.16458350000903,,,,,,,,,,,52.13720210001338,52.16458350000903,52.29823919996852,134.40690419997554,NetflixControl.jpg,Plan 2,2,82.10334029997466,None,134.40700529998867,134.42062240000814,134.95591959997546,134.90531850000843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
1,0,1,2,42.95244029996684,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,134.95591959997546,,,,,,,,,,,134.9353416999802,134.95591959997546,135.12299090001034,178.08918919996358,HotstarControl.jpg,Plan 2,2,42.95244029996684,None,178.08927830000175,178.10250899998937,178.63694469997426,178.58723339997232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
2,0,2,2,102.56142560002627,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,178.63694469997426,,,,,,,,,,,178.62357049999991,178.63694469997426,178.8045474999817,281.3693040999933,Zee5Control.jpg,Plan 2,2,102.56142560002627,None,281.3694003999699,281.3825201999862,281.91917740000645,281.8677846000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
3,0,3,3,52.175472799979616,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,281.91917740000645,,,,,,,,,,,281.89826220000396,281.91917740000645,282.0845784000121,334.276788499963,CrunchyrollControl.jpg,Plan 3,3,52.175472799979616,None,334.2768745999783,334.2915331000113,334.827189899981,334.77639800001634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
4,0,4,1,73.67357110005105,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,334.827189899981,,,,,,,,,,,334.8086218999815,334.827189899981,334.976676899998,408.65921770001296,SonyLivControl.jpg,Plan 1,1,73.67357110005105,None,408.6593342999695,408.67310409998754,409.192761000013,409.15794140001526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
5,0,5,2,26.28007549996255,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,409.192761000013,,,,,,,,,,,409.18192399997497,409.192761000013,409.35912859998643,435.655254399986,AppleOneControl.jpg,Plan 2,2,26.28007549996255,None,435.6553646000102,435.6698297999683,436.25270249997266,436.1541979999747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.24594180000713,436.25270249997266,,436.6712143999757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
0,0,0,,,,2,61.922610300011,None,,,,,,,,,,,0,0,0,0,,,,,,,,,436.72177279996686,,,,,,,,,,,,,,,,,,,,498.79222559998743,498.806593300018,499.34048529999563,499.2913118000142,436.70157919998746,436.72177279996686,436.8557121999911,498.79203850001795,Netflix20.jpg,Plan 2,2,61.922610300011,None,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
1,0,1,,,,2,23.065919099957682,None,,,,,,,,,,,1,0,1,0,,,,,,,,,499.34048529999563,,,,,,,,,,,,,,,,,,,,522.5679896000074,522.5825010999688,523.1019389000139,523.067021099967,499.32433299999684,499.34048529999563,499.49141610000515,522.5679062000127,AppleOne20.jpg,Plan 2,2,23.065919099957682,None,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
2,0,2,,,,1,18.882259599980898,None,,,,,,,,,,,2,0,2,0,,,,,,,,,523.1019389000139,,,,,,,,,,,,,,,,,,,,542.1570285999915,542.1704412999679,542.7063861999777,542.6568241000059,523.0871654999792,523.1019389000139,523.2678564999951,542.1569345999742,Zee520.jpg,Plan 1,1,18.882259599980898,None,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
3,0,3,,,,2,78.1650070999749,None,,,,,,,,,,,3,0,3,0,,,,,,,,,542.7063861999777,,,,,,,,,,,,,,,,,,,,621.0434314999729,621.0574825999793,621.5771512999781,621.5424378999742,542.6844018999836,542.7063861999777,542.8723909999826,621.0433310999651,SonyLiv20.jpg,Plan 2,2,78.1650070999749,None,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
4,0,4,,,,3,69.06941920000827,None,,,,,,,,,,,4,0,4,0,,,,,,,,,621.5771512999781,,,,,,,,,,,,,,,,,,,,690.8218339000014,690.8345928000053,691.3712396000046,691.3191909000161,621.5696422000183,621.5771512999781,621.7428622000152,690.8217155999737,Crunchyroll20.jpg,Plan 3,3,69.06941920000827,None,,,,,,,,,,,,,,,,,,,,,,,,,,46296,001,2025-03-27_22h57.42.915,RES501,2024.2.4,59.77804413007903,2025-03-27 22h58.12.478883 +0530,
