thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02000349993,0.03813090012,2.0364639,2.103302,3.0024312,7.526257,space,4.452671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
0,0,0,2,20.2233997,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,7.5809095,,,,,,,,,,,7.5522439,7.5809095,7.7324612,27.9644129,CrunchyrollControl.jpg,Plan 2,2,20.2233997,None,27.9645484,27.9798103,28.4786975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
1,0,1,1,21.1917676,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,28.5278054,,,,,,,,,,,28.5088608,28.5278054,28.6628988,49.8614125,Zee5Control.jpg,Plan 1,1,21.1917676,None,49.8615641,49.875139,50.3591096,50.3911353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
2,0,2,2,8.6361109,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,50.3911353,,,,,,,,,,,50.3833397,50.3911353,50.5759852,59.2186326,AppleOneControl.jpg,Plan 2,2,8.6361109,None,59.2187904,59.2327733,59.7168682,59.7664812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
3,0,3,2,25.6916021,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,59.7664812,,,,,,,,,,,59.742959,59.7664812,59.9167297,85.6118998,SonyLivControl.jpg,Plan 2,2,25.6916021,None,85.6120463,85.62496,86.1101069,86.1576992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
4,0,4,3,9.0253786,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,86.1576992,,,,,,,,,,,86.1363245,86.1576992,86.3256443,95.3681362,NetflixControl.jpg,Plan 3,3,9.0253786,None,95.3682609,95.3822791,95.8675399,95.9146526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
5,0,5,3,14.001043,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,95.9146526,,,,,,,,,,,95.9049464,95.9146526,96.0816534,110.0890004,HotstarControl.jpg,Plan 3,3,14.001043,None,110.0891949,110.1021711,110.5867075,110.6024017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5868625,110.6024017,111.1015631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
0,0,0,,,,2,2.8190512,None,,,,,,,,,,,0,0,0,0,,,,,,,,,111.1447514,,,,,,,,,,,,,,,,,,,,114.1356053,114.1490274,114.6327215,114.6979554,111.1262148,111.1447514,111.3025948,114.1354404,AppleOne20.jpg,Plan 2,2,2.8190512,None,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
1,0,1,,,,2,1.5037477,None,,,,,,,,,,,1,0,1,0,,,,,,,,,114.6979554,,,,,,,,,,,,,,,,,,,,116.3673124,116.3799957,116.8656231,116.9298822,114.6742941,114.6979554,114.8488688,116.3671379,Crunchyroll20.jpg,Plan 3,3,1.5037477,None,,,,,,,,,,,,,,,,,,,,,,,,,,34752,1,2025-03-26_14h03.26.401,RES501,2024.2.4,59.77157698,2025-03-26 14h03.36.830755 +0530
