thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009906899882480502,0.028104699915274978,2.0279017998836935,2.110361199826002,3.0115554998628795,6.2993613998405635,space,3.2803136000875384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
0,0,0,1,5.099359099986032,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,6.385561499977484,,,,,,,,,,,6.308669899823144,6.385561499977484,6.510446100030094,11.61102749989368,AppleOneControl.jpg,Plan 1,1,5.099359099986032,None,11.611183199798688,11.625401799799874,12.126289999810979,12.1088370999787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
1,0,1,3,1.9793920000083745,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,12.126289999810979,,,,,,,,,,,12.116619299864396,12.126289999810979,12.310299299890175,14.2944030999206,Zee5Control.jpg,Plan 3,3,1.9793920000083745,None,14.29454019991681,14.308241099817678,14.825185299851,14.79308189987205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
2,0,2,3,3.5521191998850554,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,14.825185299851,,,,,,,,,,,14.817164999898523,14.825185299851,15.00911569991149,18.576745099853724,SonyLivControl.jpg,Plan 3,3,3.5521191998850554,None,18.576903499895707,18.590452099917457,19.094798399833962,19.074061299907044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
3,0,3,2,2.252413500100374,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,19.094798399833962,,,,,,,,,,,19.0845503997989,19.094798399833962,19.290946200024337,21.559288599994034,CrunchyrollControl.jpg,Plan 2,2,2.252413500100374,None,21.559446400031447,21.573375399922952,22.091050799936056,22.058018499985337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
4,0,4,1,2.4539661000017077,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,22.091050799936056,,,,,,,,,,,22.07390999980271,22.091050799936056,22.273411499802023,24.741986899869516,HotstarControl.jpg,Plan 1,1,2.4539661000017077,None,24.74211879982613,24.75554549996741,25.272488499991596,25.240564599866048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
5,0,5,2,2.307453000219539,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,25.272488499991596,,,,,,,,,,,25.252786200027913,25.272488499991596,25.45702699990943,27.77429339988157,NetflixControl.jpg,Plan 2,2,2.307453000219539,None,27.774413199862465,27.788607500027865,28.304057999979705,28.274207099806517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.29784609982744,28.304057999979705,,28.78967779991217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
0,0,0,,,,2,1.7014979000668973,None,,,,,,,,,,,0,0,0,0,,,,,,,,,28.806062099989504,,,,,,,,,,,,,,,,,,,,30.70816669985652,30.72264469997026,31.2382353998255,31.20621779980138,28.797798399813473,28.806062099989504,28.989502699812874,30.707967299968004,AppleOne20.jpg,Plan 2,2,1.7014979000668973,None,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
1,0,1,,,,2,3.1509170001372695,None,,,,,,,,,,,1,0,1,0,,,,,,,,,31.2382353998255,,,,,,,,,,,,,,,,,,,,34.588772899936885,34.603210599860176,35.1213120999746,35.089058300014585,31.22161819995381,31.2382353998255,31.42297329986468,34.588655799860135,Crunchyroll20.jpg,Plan 2,2,3.1509170001372695,None,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
2,0,2,,,,2,3.0741274000611156,None,,,,,,,,,,,2,0,2,0,,,,,,,,,35.1213120999746,,,,,,,,,,,,,,,,,,,,38.37154700001702,38.38780919997953,,38.88734359992668,35.10203900001943,35.1213120999746,35.28811369999312,38.371468799887225,Netflix20.jpg,Plan 2,2,3.0741274000611156,None,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
3,0,3,,,,1,2.359161000000313,None,,,,,,,,,,,3,0,3,0,,,,,,,,,38.919601999921724,,,,,,,,,,,,,,,,,,,,41.43976269988343,41.45401380001567,,41.95309009985067,38.90421209996566,38.919601999921724,39.070639699930325,41.439571199938655,Hotstar20.jpg,Plan 1,1,2.359161000000313,None,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
4,0,4,,,,3,2.384361899923533,None,,,,,,,,,,,4,0,4,0,,,,,,,,,41.9853381998837,,,,,,,,,,,,,,,,,,,,44.552628399804235,44.567847499856725,45.085013799835,45.05338059994392,41.97185299987905,41.9853381998837,42.15218380000442,44.55251649999991,SonyLiv20.jpg,Plan 3,3,2.384361899923533,None,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
5,0,5,,,,1,3.122569300001487,None,,,,,,,,,,,5,0,5,0,,,,,,,,,45.085013799835,,,,,,,,,,,,,,,,,,,,48.38578199991025,48.40149930003099,48.932712599867955,48.88575799996033,45.07881139987148,45.085013799835,45.25315109989606,48.385669299867004,Zee520.jpg,Plan 1,1,3.122569300001487,None,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9173500998877,48.932712599867955,,49.40153709985316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
0,0,0,,,,,,,2,3.9737558998167515,None,,,,,,,,,,,,0,0,0,0,,,,,49.4348716000095,,,,,,,,,,,,,,,,,,,,53.56851099990308,53.58361909980886,54.10138099989854,54.06776300002821,,,,,,,,,,49.41912069986574,49.4348716000095,49.58579589985311,53.56835989980027,Hotstar30.jpg,Plan 2,2,3.9737558998167515,None,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
1,0,1,,,,,,,1,3.4166270000860095,None,,,,,,,,,,,,1,0,1,0,,,,,54.10138099989854,,,,,,,,,,,,,,,,,,,,57.70245449990034,57.71652140002698,58.23332839994691,58.20042789983563,,,,,,,,,,54.08296239981428,54.10138099989854,54.28332039993256,57.70225219987333,Crunchyroll30.jpg,Plan 1,1,3.4166270000860095,None,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
2,0,2,,,,,,,3,4.643206999870017,None,,,,,,,,,,,,2,0,2,0,,,,,58.23332839994691,,,,,,,,,,,,,,,,,,,,63.066071399953216,63.081371599808335,63.581447899807245,63.56506299995817,,,,,,,,,,58.22130289999768,58.23332839994691,58.416727299802005,63.065920299850404,SonyLiv30.jpg,Plan 3,3,4.643206999870017,None,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
3,0,3,,,,,,,2,4.72683609998785,None,,,,,,,,,,,,3,0,3,0,,,,,63.581447899807245,,,,,,,,,,,,,,,,,,,,68.5157043999061,68.53032169979997,69.04629149986431,69.01482869987376,,,,,,,,,,63.576282899826765,63.581447899807245,63.782153100008145,68.51555070001632,Netflix30.jpg,Plan 2,2,4.72683609998785,None,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
4,0,4,,,,,,,1,4.759057099930942,None,,,,,,,,,,,,4,0,4,0,,,,,69.04629149986431,,,,,,,,,,,,,,,,,,,,73.99800539994612,74.01229789992794,74.52920349990018,74.49699159990996,,,,,,,,,,69.03928899997845,69.04629149986431,69.23023270000704,73.99785089981742,Zee530.jpg,Plan 1,1,4.759057099930942,None,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
5,0,5,,,,,,,2,5.372976900078356,None,,,,,,,,,,,,5,0,5,0,,,,,74.52920349990018,,,,,,,,,,,,,,,,,,,,80.07978429994546,80.09441079990938,80.62639679992571,80.57946769986302,,,,,,,,,,74.51104269991629,74.52920349990018,74.69688699999824,80.07959669991396,AppleOne30.jpg,Plan 2,2,5.372976900078356,None,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.61554849985987,80.62639679992571,,81.09494389989413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
0,0,0,,,,,,,,,,1,2.0026318000163883,None,,,,,,,,,,,,,0,0,0,0,81.12734369980171,,,,,,,,,,,,,,,,,,,,83.31284829997458,83.32718889997341,83.84412449994124,83.81060199998319,,,,,,,,,,,,,,,,,,,81.10940909991041,81.12734369980171,81.29501349991187,83.31268849992193,SonyLivBundling.jpg,Plan 1,1,2.0026318000163883,None,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
1,0,1,,,,,,,,,,2,3.4313093000091612,None,,,,,,,,,,,,,1,0,1,0,83.84412449994124,,,,,,,,,,,,,,,,,,,,87.4610427999869,87.47607159987092,87.97586689982563,87.95909369993024,,,,,,,,,,,,,,,,,,,83.82662229984999,83.84412449994124,84.02749040001072,87.46091149980202,CrunchyrollBundling.jpg,Plan 2,2,3.4313093000091612,None,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
2,0,2,,,,,,,,,,1,3.776876100106165,None,,,,,,,,,,,,,2,0,2,0,87.97586689982563,,,,,,,,,,,,,,,,,,,,91.94448339985684,91.95886659994721,92.475699899951,92.44334609992802,,,,,,,,,,,,,,,,,,,87.9703404000029,87.97586689982563,88.16045470000245,91.9443468998652,Zee5Bundling.jpg,Plan 1,1,3.776876100106165,None,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
3,0,3,,,,,,,,,,2,2.325330900028348,None,,,,,,,,,,,,,3,0,3,0,92.475699899951,,,,,,,,,,,,,,,,,,,,94.99266340001486,95.00774509995244,95.52516740001738,95.49312409991398,,,,,,,,,,,,,,,,,,,92.4591087999288,92.475699899951,92.6596710998565,94.99249719991349,NetflixBundling.jpg,Plan 2,2,2.325330900028348,None,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
4,0,4,,,,,,,,,,3,3.2668224999215454,None,,,,,,,,,,,,,4,0,4,0,95.52516740001738,,,,,,,,,,,,,,,,,,,,98.9742967998609,98.98985020001419,99.50775559991598,99.47387899993919,,,,,,,,,,,,,,,,,,,95.51683339988813,95.52516740001738,95.69150149985217,98.97418689983897,HotstarBundling.jpg,Plan 3,3,3.2668224999215454,None,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
5,0,5,,,,,,,,,,2,3.464746000012383,None,,,,,,,,,,,,,5,0,5,0,99.50775559991598,,,,,,,,,,,,,,,,,,,,103.14063999988139,103.15527289989404,,103.64083679998294,,,,,,,,,,,,,,,,,,,99.49042059993371,99.50775559991598,99.67430830001831,103.1405141998548,AppleOneBundling.jpg,Plan 2,2,3.464746000012383,None,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.66860729991458,103.68769159982912,,104.15571269998327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.15578389982693,104.1720239999704,105.15631849993952,105.2405693999026,space,0.06873430009000003,None,34688,001,2025-04-02_18h29.51.570,RES501,2024.2.4,60.38173330041774,2025-04-02 18h30.03.257414 +0530,
