thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003042500000447035,0.02095320005901158,2.0211559999734163,2.1038887999020517,3.0047426999080926,6.5073187998496,space,3.4833410000428557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
0,0,0,2,5.43970110011287,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,6.598479500040412,,,,,,,,,,,6.521728799911216,6.598479500040412,6.721018000040203,12.17104859999381,SonyLivControl.jpg,Plan 2,2,5.43970110011287,None,12.171192199923098,12.185639000032097,12.702087600016966,12.670406799996272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
1,0,1,1,2.381596300052479,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,12.702087600016966,,,,,,,,,,,12.689920200034976,12.702087600016966,12.887405100045726,15.271800399990752,AppleOneControl.jpg,Plan 1,1,2.381596300052479,None,15.271986699895933,15.286082099890336,15.802015699911863,15.769543600035831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
2,0,2,2,3.231408999999985,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,15.802015699911863,,,,,,,,,,,15.790276899933815,15.802015699911863,15.986075799912214,19.22053589997813,HotstarControl.jpg,Plan 2,2,3.231408999999985,None,19.22069890005514,19.23517180001363,19.752383399987593,19.718143800040707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
3,0,3,3,3.070607999805361,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,19.752383399987593,,,,,,,,,,,19.735189399914816,19.752383399987593,19.934820899972692,23.018949799938127,Zee5Control.jpg,Plan 3,3,3.070607999805361,None,23.01907469984144,23.033333600033075,23.55001989984885,23.518749499926344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
4,0,4,2,4.752544300165027,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,23.55001989984885,,,,,,,,,,,23.53122660005465,23.55001989984885,23.73427250003442,28.50024459999986,CrunchyrollControl.jpg,Plan 2,2,4.752544300165027,None,28.50038250000216,28.515311500057578,29.032924900064245,29.00042469985783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
5,0,5,3,3.638695399975404,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,29.032924900064245,,,,,,,,,,,29.01289559993893,29.032924900064245,29.215882600052282,32.8657658000011,NetflixControl.jpg,Plan 3,3,3.638695399975404,None,32.865891200024635,32.88073159987107,33.39613959984854,33.366132899886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.392191800056025,33.39613959984854,,33.881655199918896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
0,0,0,,,,1,3.762584500014782,None,,,,,,,,,,,0,0,0,0,,,,,,,,,33.89796640002169,,,,,,,,,,,,,,,,,,,,37.83335129986517,37.84701050003059,38.36351069994271,38.332310299854726,33.89167999988422,33.89796640002169,34.06454920000397,37.83319829986431,Zee520.jpg,Plan 1,1,3.762584500014782,None,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
1,0,1,,,,2,5.728618799941614,None,,,,,,,,,,,1,0,1,0,,,,,,,,,38.36351069994271,,,,,,,,,,,,,,,,,,,,44.28160639991984,44.29638279997744,44.811256299959496,44.78034089994617,38.35088109993376,38.36351069994271,38.54633369995281,44.2813742000144,SonyLiv20.jpg,Plan 2,2,5.728618799941614,None,,,,,,,,,,,,,,,,,,,,,,,,,,58896,001,2025-04-02_18h39.51.468,RES501,2024.2.4,59.98069821795892,2025-04-02 18h40.09.610740 +0530,
