thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019740199903026223,0.03814659989438951,2.037646400043741,2.1047153999097645,3.003070800099522,4.7442473999690264,space,1.7243892999831587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
0,0,0,1,3.6262817999813706,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,4.826953300042078,,,,,,,,,,,4.761335799936205,4.826953300042078,4.955147699918598,8.588282600045204,SonyLivControl.jpg,Plan 1,1,3.6262817999813706,None,8.58844539988786,8.602847300004214,9.118948299903423,9.087336600059643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
1,0,1,2,2.5157130998559296,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,9.118948299903423,,,,,,,,,,,9.105439699953422,9.118948299903423,9.30353259993717,11.820500300033018,HotstarControl.jpg,Plan 2,2,2.5157130998559296,None,11.820615200093016,11.834961599903181,12.350835399935022,12.319725800072774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
2,0,2,2,2.41830060002394,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,12.350835399935022,,,,,,,,,,,12.337967100087553,12.350835399935022,12.519110700115561,14.952045700047165,AppleOneControl.jpg,Plan 2,2,2.41830060002394,None,14.952148499898612,14.967268799897283,15.484672900056466,15.451936699915677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
3,0,3,1,2.0615397999063134,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,15.484672900056466,,,,,,,,,,,15.467938899993896,15.484672900056466,15.652016999898478,17.719799699960276,CrunchyrollControl.jpg,Plan 1,1,2.0615397999063134,None,17.71995529998094,17.734322600066662,18.25097590009682,18.218563199974597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
4,0,4,2,2.471774499863386,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,18.25097590009682,,,,,,,,,,,18.233062299899757,18.25097590009682,18.434922700049356,20.918464499991387,NetflixControl.jpg,Plan 2,2,2.471774499863386,None,20.91857620002702,20.93324950011447,21.450203499989584,21.416677299886942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
5,0,5,1,3.2107432999182492,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,21.450203499989584,,,,,,,,,,,21.435044900048524,21.450203499989584,21.61981220007874,24.83488649991341,Zee5Control.jpg,Plan 1,1,3.2107432999182492,None,24.83502330002375,24.848748800111935,25.36403000005521,25.33363700006157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.359101000009105,25.36403000005521,,25.849526399979368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
0,0,0,,,,2,2.543474500067532,None,,,,,,,,,,,0,0,0,0,,,,,,,,,25.882115399930626,,,,,,,,,,,,,,,,,,,,28.599609199911356,28.61489100009203,29.131614499958232,29.099356099963188,25.86478659999557,25.882115399930626,26.04943159990944,28.59951930004172,AppleOne20.jpg,Plan 2,2,2.543474500067532,None,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
1,0,1,,,,3,3.961788000073284,None,,,,,,,,,,,1,0,1,0,,,,,,,,,29.131614499958232,,,,,,,,,,,,,,,,,,,,33.26630480005406,33.280184499919415,33.79675980005413,33.76477580005303,29.119711299892515,29.131614499958232,29.300379500025883,33.26616119989194,Crunchyroll20.jpg,Plan 3,3,3.961788000073284,None,,,,,,,,,,,,,,,,,,,,,,,,,,92378,001,2025-04-02_18h27.43.543,RES501,2024.2.4,60.15656347371343,2025-04-02 18h27.56.700194 +0530,
