thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004411499947,0.02387749986,2.038287,2.1045313,3.004253,20.5112784,space,17.4863479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
0,0,0,2,19.4846652,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,20.5550225,,,,,,,,,,,20.5302275,20.5550225,20.7215175,40.2225603,SonyLivControl.jpg,Plan 2,2,19.4846652,None,40.2227233,40.2356419,40.7742927,40.7206317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
1,0,1,1,16.0841437,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,40.7742927,,,,,,,,,,,40.7478967,40.7742927,40.9362441,57.023368,CrunchyrollControl.jpg,Plan 1,1,16.0841437,None,57.0235884,57.0366561,57.5710717,57.5208674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
2,0,2,2,18.120651,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,57.5710717,,,,,,,,,,,57.5624839,57.5710717,57.7373086,75.8718628,HotstarControl.jpg,Plan 2,2,18.120651,None,75.8720174,75.8870567,76.4184426,76.3705937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
3,0,3,1,11.0137832,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,76.4184426,,,,,,,,,,,76.3988853,76.4184426,76.5861324,87.6114933,AppleOneControl.jpg,Plan 1,1,11.0137832,None,87.6116539,87.6262376,,88.1247606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
4,0,4,2,9.1838422,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,88.1591543,,,,,,,,,,,88.1436194,88.1591543,88.3255908,97.5183779,NetflixControl.jpg,Plan 2,2,9.1838422,None,97.5185281,97.5321634,98.0494692,98.0164219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
5,0,5,3,20.5092894,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,98.0494692,,,,,,,,,,,98.0301477,98.0494692,98.2167335,118.7321487,Zee5Control.jpg,Plan 3,3,20.5092894,None,118.7322904,118.7454219,119.2463901,119.230217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2303543,119.2463901,,119.7438186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
0,0,0,,,,2,5.2273597,None,,,,,,,,,,,0,0,0,0,,,,,,,,,119.795685,,,,,,,,,,,,,,,,,,,,125.1766959,125.1897016,125.7058662,125.6739792,119.7774274,119.795685,119.9463255,125.1765255,Hotstar20.jpg,Plan 2,2,5.2273597,None,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
1,0,1,,,,2,2.025215,None,,,,,,,,,,,1,0,1,0,,,,,,,,,125.7058662,,,,,,,,,,,,,,,,,,,,127.9237707,127.9370409,128.4529542,128.4201563,125.687773,125.7058662,125.8898965,127.9236207,Netflix20.jpg,Plan 2,2,2.025215,None,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
2,0,2,,,,1,13.1087467,None,,,,,,,,,,,2,0,2,0,,,,,,,,,128.4529542,,,,,,,,,,,,,,,,,,,,141.76072,141.7755766,,142.274727,128.4445877,128.4529542,128.6383683,141.7605153,AppleOne20.jpg,Plan 1,1,13.1087467,None,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
3,0,3,,,,1,4.4011465,None,,,,,,,,,,,3,0,3,0,,,,,,,,,142.324842,,,,,,,,,,,,,,,,,,,,146.8892496,146.902858,147.4200893,147.3869527,142.3060942,142.324842,142.4750812,146.8890511,Crunchyroll20.jpg,Plan 3,3,4.4011465,None,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
4,0,4,,,,3,7.3409992,None,,,,,,,,,,,4,0,4,0,,,,,,,,,147.4200893,,,,,,,,,,,,,,,,,,,,154.9483223,154.961687,155.4791088,155.4455261,147.3968628,147.4200893,147.6032925,154.9481824,Zee520.jpg,Plan 3,3,7.3409992,None,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
5,0,5,,,,3,38.3777693,None,,,,,,,,,,,5,0,5,0,,,,,,,,,155.4791088,,,,,,,,,,,,,,,,,,,,194.0473534,194.0588247,194.5588627,194.542706,155.4610604,155.4791088,155.6617037,194.0471479,SonyLiv20.jpg,Plan 3,3,38.3777693,None,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.5428564,194.5588627,195.0896714,195.0437335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
0,0,0,,,,,,,3,4.3435694,None,,,,,,,,,,,,0,0,0,0,,,,,195.0896714,,,,,,,,,,,,,,,,,,,,199.6076998,199.6201794,200.1546581,200.1051393,,,,,,,,,,195.0612395,195.0896714,195.2602392,199.6075309,SonyLiv30.jpg,Plan 3,3,4.3435694,None,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
1,0,1,,,,,,,3,6.4689149,None,,,,,,,,,,,,1,0,1,0,,,,,200.1546581,,,,,,,,,,,,,,,,,,,,206.7995921,206.8135492,207.3293319,207.2979387,,,,,,,,,,200.1391351,200.1546581,200.320819,206.7994565,Crunchyroll30.jpg,Plan 1,1,6.4689149,None,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
2,0,2,,,,,,,3,7.722821,None,,,,,,,,,,,,2,0,2,0,,,,,207.3293319,,,,,,,,,,,,,,,,,,,,215.2423387,215.2557106,215.7731206,215.7395389,,,,,,,,,,207.3160263,207.3293319,207.5141596,215.2421856,Zee530.jpg,Plan 3,3,7.722821,None,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
3,0,3,,,,,,,2,6.4774296,None,,,,,,,,,,,,3,0,3,0,,,,,215.7731206,,,,,,,,,,,,,,,,,,,,222.4504296,222.4650511,222.9829124,222.9494859,,,,,,,,,,215.7560515,215.7731206,215.9578982,222.4503544,Netflix30.jpg,Plan 2,2,6.4774296,None,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
4,0,4,,,,,,,1,5.9457841,None,,,,,,,,,,,,4,0,4,0,,,,,222.9829124,,,,,,,,,,,,,,,,,,,,229.1294531,229.1428254,229.6600239,229.6269282,,,,,,,,,,222.9594979,222.9829124,223.1658072,229.1292827,AppleOne30.jpg,Plan 1,1,5.9457841,None,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
5,0,5,,,,,,,2,7.3265645,None,,,,,,,,,,,,5,0,5,0,,,,,229.6600239,,,,,,,,,,,,,,,,,,,,237.1737432,237.1848619,237.6849054,237.6695029,,,,,,,,,,229.6422029,229.6600239,229.8432546,237.1735318,Hotstar30.jpg,Plan 2,2,7.3265645,None,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.6696598,237.6849054,238.2092399,238.1696236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
0,0,0,,,,,,,,,,2,3.9482452,None,,,,,,,,,,,,,0,0,0,0,238.2092399,,,,,,,,,,,,,,,,,,,,242.3504416,242.3638986,242.8790648,242.8481409,,,,,,,,,,,,,,,,,,,238.1879477,238.2092399,238.3854512,242.3502522,HotstarBundling.jpg,Plan 2,2,3.9482452,None,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
1,0,1,,,,,,,,,,3,8.6054881,None,,,,,,,,,,,,,1,0,1,0,242.8790648,,,,,,,,,,,,,,,,,,,,251.6737022,251.6881149,252.2060028,252.1723884,,,,,,,,,,,,,,,,,,,242.8629942,242.8790648,243.0640951,251.6735827,Zee5Bundling.jpg,Plan 3,3,8.6054881,None,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
2,0,2,,,,,,,,,,2,4.5762295,None,,,,,,,,,,,,,2,0,2,0,252.2060028,,,,,,,,,,,,,,,,,,,,256.9718134,256.9837801,257.5033345,257.4679308,,,,,,,,,,,,,,,,,,,252.1869545,252.2060028,252.3886765,256.97156,NetflixBundling.jpg,Plan 2,2,4.5762295,None,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
3,0,3,,,,,,,,,,1,2.5793013,None,,,,,,,,,,,,,3,0,3,0,257.5033345,,,,,,,,,,,,,,,,,,,,260.2665605,260.2800539,260.8138642,260.7646965,,,,,,,,,,,,,,,,,,,257.4817582,257.5033345,257.6838771,260.2664284,CrunchyrollBundling.jpg,Plan 1,1,2.5793013,None,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
4,0,4,,,,,,,,,,3,9.0868052,None,,,,,,,,,,,,,4,0,4,0,260.8138642,,,,,,,,,,,,,,,,,,,,270.0738484,270.0875575,270.6049137,270.5716027,,,,,,,,,,,,,,,,,,,260.8018495,260.8138642,260.9806812,270.0736994,SonyLivBundling.jpg,Plan 3,3,9.0868052,None,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
5,0,5,,,,,,,,,,1,12.0680292,None,,,,,,,,,,,,,5,0,5,0,270.6049137,,,,,,,,,,,,,,,,,,,,282.8623697,282.8756526,283.3757974,283.3601925,,,,,,,,,,,,,,,,,,,270.5823287,270.6049137,270.7882012,282.8621865,AppleOneBundling.jpg,Plan 1,1,12.0680292,None,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.3603494,283.3757974,283.8750244,283.8594614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.8595199,283.8750244,284.8740374,293.435593,space,8.5447964,None,14138,1,2025-03-26_15h07.03.857,RES501,2024.2.4,60.1481328,2025-03-26 15h07.09.953324 +0530
