thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,0,2,,,,3,10.087937500000407,None,,,,,,,,,,,2,0,2,0,,,,,,,,,276.85398949999944,,,,,,,,,,,,,,,,,,,,287.0974406000023,287.12327590000496,287.6073785000044,276.826353299999,276.85398949999944,276.9962366000036,287.09722010000405,Hotstar20.jpg,Plan 3,3,10.087937500000407,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
3,0,3,,,,2,17.088167999994766,None,,,,,,,,,,,3,0,3,0,,,,,,,,,287.6752534000043,,,,,,,,,,,,,,,,,,,,304.9080721999999,304.9335304000051,305.41288899999927,287.6541614000016,287.6752534000043,287.81210110000393,304.907758500005,SonyLiv20.jpg,Plan 2,2,17.088167999994766,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
4,0,4,,,,3,13.110371500006295,None,,,,,,,,,,,4,0,4,0,,,,,,,,,305.49906020000344,,,,,,,,,,,,,,,,,,,,318.75056290000066,318.7718332000004,319.2616488000058,305.47736820000137,305.49906020000344,305.63718820000213,318.75028710000333,Crunchyroll20.jpg,Plan 3,3,13.110371500006295,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
5,0,5,,,,2,7.562455300001602,None,,,,,,,,,,,5,0,5,0,,,,,,,,,319.3286659000005,,,,,,,,,,,,,,,,,,,,327.0445280999993,327.06577220000327,327.56832950000535,319.30097620000015,319.3286659000005,319.46877060000406,327.0437840000013,AppleOne20.jpg,Plan 2,2,7.562455300001602,None,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.7189156000022,327.7358691000045,328.0506886000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
0,0,0,,,,,,,3,13.112379099999089,None,,,,,,,,,,,,0,0,0,0,,,,,328.1067894000007,,,,,,,,,,,,,,,,,,,,341.3753527000008,341.3958080000011,341.89819420000276,,,,,,,,,,328.0866385000045,328.1067894000007,328.2597139999998,341.37513670000044,Hotstar30.jpg,Plan 3,3,13.112379099999089,None,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
1,0,1,,,,,,,2,7.070082199999888,None,,,,,,,,,,,,1,0,1,0,,,,,341.9866863999996,,,,,,,,,,,,,,,,,,,,349.19340340000053,349.21443980000186,349.6947134000002,,,,,,,,,,341.9580688999995,341.9866863999996,342.10070840000117,349.19326070000534,AppleOne30.jpg,Plan 2,2,7.070082199999888,None,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
2,0,2,,,,,,,3,5.7053639000005205,None,,,,,,,,,,,,2,0,2,0,,,,,349.76802750000206,,,,,,,,,,,,,,,,,,,,355.6274382000047,355.64778379999916,356.1340096000058,,,,,,,,,,349.7391198000041,349.76802750000206,349.9150301000045,355.6266698000036,Crunchyroll30.jpg,Plan 3,3,5.7053639000005205,None,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
3,0,3,,,,,,,2,12.072621899998921,None,,,,,,,,,,,,3,0,3,0,,,,,356.20120310000493,,,,,,,,,,,,,,,,,,,,368.437499700005,368.4602526000017,368.93807930000185,,,,,,,,,,356.1808474999998,356.20120310000493,356.3584505000035,368.4372497000004,SonyLiv30.jpg,Plan 2,2,12.072621899998921,None,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
4,0,4,,,,,,,1,10.69566119999945,None,,,,,,,,,,,,4,0,4,0,,,,,369.03829670000414,,,,,,,,,,,,,,,,,,,,379.88306710000325,379.91020710000157,380.40151600000536,,,,,,,,,,369.00294120000035,369.03829670000414,369.1674927999993,379.8827139000059,Zee530.jpg,Plan 1,1,10.69566119999945,None,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
5,0,5,,,,,,,4,6.63221099999646,None,,,,,,,,,,,,5,0,5,0,,,,,380.4781995000012,,,,,,,,,,,,,,,,,,,,387.24037350000435,387.2677104000031,387.7409292000011,,,,,,,,,,380.45471050000197,380.4781995000012,380.60235690000263,387.2400235000023,Netflix30.jpg,Plan 4,4,6.63221099999646,None,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.90838359999907,387.93612950000534,388.2548314000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
0,0,0,,,,,,,,,,3,8.354972599998291,None,,,,,,,,,,,,,0,0,0,0,388.3221393000058,,,,,,,,,,,,,,,,,,,,396.8506450000059,396.86850690000574,397.3523735999988,,,,,,,,,,,,,,,,,,,388.2933536000055,388.3221393000058,388.46976500000164,396.84930420000455,CrunchyrollBundling.jpg,Plan 3,3,8.354972599998291,None,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
1,0,1,,,,,,,,,,2,30.928820000000997,None,,,,,,,,,,,,,1,0,1,0,397.44521910000185,,,,,,,,,,,,,,,,,,,,428.52317260000564,428.5444545999999,429.03609080000024,,,,,,,,,,,,,,,,,,,397.4173585000026,397.44521910000185,397.57891380000365,428.52273309999873,SonyLivBundling.jpg,Plan 2,2,30.928820000000997,None,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
2,0,2,,,,,,,,,,1,6.053743200005556,None,,,,,,,,,,,,,2,0,2,0,429.1326517000052,,,,,,,,,,,,,,,,,,,,435.3006730000052,435.32330220000586,435.81047790000594,,,,,,,,,,,,,,,,,,,429.1078725000043,429.1326517000052,429.2355026000005,435.3004118000026,Zee5Bundling.jpg,Plan 1,1,6.053743200005556,None,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
3,0,3,,,,,,,,,,3,9.657067299995106,None,,,,,,,,,,,,,3,0,3,0,435.8747857000053,,,,,,,,,,,,,,,,,,,,445.6734204000022,445.7010427000059,446.1924093999987,,,,,,,,,,,,,,,,,,,435.857591400003,435.8747857000053,436.01052560000244,445.67304120000335,NetflixBundling.jpg,Plan 3,3,9.657067299995106,None,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
4,0,4,,,,,,,,,,3,14.96092640000279,None,,,,,,,,,,,,,4,0,4,0,446.2864221999989,,,,,,,,,,,,,,,,,,,,461.3609574000002,461.38295189999917,461.8724141000057,,,,,,,,,,,,,,,,,,,446.26814690000174,446.2864221999989,446.38655210000434,461.36077490000025,HotstarBundling.jpg,Plan 3,3,14.96092640000279,None,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
5,0,5,,,,,,,,,,2,3.9047719999944093,None,,,,,,,,,,,,,5,0,5,0,461.9205762999991,,,,,,,,,,,,,,,,,,,,465.98089980000077,466.00746240000444,466.49250260000554,,,,,,,,,,,,,,,,,,,461.90495360000205,461.9205762999991,462.07360970000445,465.98069780000515,AppleOneBundling.jpg,Plan 2,2,3.9047719999944093,None,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.66895180000574,466.6870631999991,466.9955517999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.9974149000045,467.02333210000506,467.9938084000023,471.34595660000195,space,3.337017300000298,None,78857,001,2025-03-28_21h11.45.414,RES501,2024.2.4,None,2025-03-28 21h11.58.594009 +0530,
