thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcScreen.stopped,textWelcMessage.started,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,textblank500.stopped,blank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007214999991,0.02477309993,2.0247446,2.1070135,3.0062425,18.4827398,space,15.4583687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
0,0,0,2,25.3580304,None,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,18.5250214,,,,,,,,,,,18.5074893,18.5250214,18.6930937,44.0543874,HotstarControl.jpg,Plan 2,2,25.3580304,None,44.0545393,44.0671098,44.6174657,44.5521207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
1,0,1,2,20.5863142,None,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,44.6174657,,,,,,,,,,,44.5984998,44.6174657,44.7684542,65.3669484,CrunchyrollControl.jpg,Plan 2,2,20.5863142,None,65.3670779,65.3811173,65.9151605,65.865447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
2,0,2,1,2.7467135,None,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,65.9151605,,,,,,,,,,,65.8927041,65.9151605,66.0813338,68.8318687,SonyLivControl.jpg,Plan 1,1,2.7467135,None,68.8320382,68.8450727,69.3941502,69.329217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
3,0,3,2,13.4483192,None,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,69.3941502,,,,,,,,,,,69.3846089,69.3941502,69.5458734,83.0019627,AppleOneControl.jpg,Plan 2,2,13.4483192,None,83.0021452,83.0148651,83.53165,83.4997489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
4,0,4,2,11.9076207,None,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,83.53165,,,,,,,,,,,83.5216721,83.53165,83.718048,95.6386847,Zee5Control.jpg,Plan 2,2,11.9076207,None,95.6388166,95.6530289,96.1865661,96.1372146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
5,0,5,3,13.4158884,None,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,96.1865661,,,,,,,,,,,96.1658377,96.1865661,96.3539968,109.7772726,NetflixControl.jpg,Plan 3,3,13.4158884,None,109.7774511,109.7906198,110.2904718,110.2742738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2744319,110.2904718,,110.7902119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
0,0,0,,,,2,5.1255678,None,,,,,,,,,,,0,0,0,0,,,,,,,,,110.8232456,,,,,,,,,,,,,,,,,,,,116.1214221,116.1336379,116.6660742,116.6188435,110.8061298,110.8232456,110.9902262,116.1212573,Hotstar20.jpg,Plan 2,2,5.1255678,None,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
1,0,1,,,,2,4.0361247,None,,,,,,,,,,,1,0,1,0,,,,,,,,,116.6660742,,,,,,,,,,,,,,,,,,,,120.8831219,120.8957202,121.4130433,121.3815568,116.6486162,116.6660742,116.8344675,120.8828859,Zee520.jpg,Plan 2,2,4.0361247,None,,,,,,,,,,,,,,,,,,,,,,,,,,53665,1,2025-03-26_14h24.03.460,RES501,2024.2.4,61.3124544,2025-03-26 14h24.08.397538 +0530
