thisN,thisTrialN,thisRepN,key_resp_control.keys,key_resp_control.rt,key_resp_control.duration,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,key_resp_bundling.keys,key_resp_bundling.rt,key_resp_bundling.duration,trialsControl.thisRepN,trialsControl.thisTrialN,trialsControl.thisN,trialsControl.thisIndex,trials20.thisRepN,trials20.thisTrialN,trials20.thisN,trials20.thisIndex,trials30.thisRepN,trials30.thisTrialN,trials30.thisN,trials30.thisIndex,trialsBundling.thisRepN,trialsBundling.thisTrialN,trialsBundling.thisN,trialsBundling.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcScreen.started,textWelcMessage.started,textWelcScreen.stopped,key_respStart.started,WelcomeScreen.stopped,key_respStart.keys,key_respStart.rt,key_respStart.duration,trialControl.started,image_control.started,key_resp_control.started,trialControl.stopped,Image,Selected_Plan,trialsControl.key_resp_control.keys,trialsControl.key_resp_control.rt,trialsControl.key_resp_control.duration,blank500.started,textblank500.started,blank500.stopped,textblank500.stopped,trial20.started,image_20.started,key_resp_20.started,trial20.stopped,Image_20,Selected_Plan_20,trials20.key_resp_20.keys,trials20.key_resp_20.rt,trials20.key_resp_20.duration,trial30.started,image_30.started,key_resp_30.started,trial30.stopped,Image_30,Selected_Plan_30,trials30.key_resp_30.keys,trials30.key_resp_30.rt,trials30.key_resp_30.duration,trialBundling.started,image_bundling.started,key_resp_bundling.started,trialBundling.stopped,Image_Bundling,Selected_Plan_Bundling,trialsBundling.key_resp_bundling.keys,trialsBundling.key_resp_bundling.rt,trialsBundling.key_resp_bundling.duration,EndScreen.started,textEndScreen.started,key_respEnd.started,EndScreen.stopped,key_respEnd.keys,key_respEnd.rt,key_respEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,0,2,,,,1,3.1031392500153743,None,,,,,,,,,,,2,0,2,0,,,,,,,,,85.8231150410138,,,,,,,,,,,,,,,,,,,,89.11250550003024,89.12494091602275,89.60872854100307,89.65774045803118,85.81411208299687,85.8231150410138,86.00281862501288,89.11237116600387,Zee520.jpg,Plan 1,1,3.1031392500153743,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
3,0,3,,,,1,1.0384687919868156,None,,,,,,,,,,,3,0,3,0,,,,,,,,,89.65774045803118,,,,,,,,,,,,,,,,,,,,90.85894683300285,90.86974699998973,91.35776116600027,91.3898000830086,89.64862799999537,89.65774045803118,89.81016816600459,90.8588296250091,SonyLiv20.jpg,Plan 1,1,1.0384687919868156,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
4,0,4,,,,2,2.0597020410350524,None,,,,,,,,,,,4,0,4,0,,,,,,,,,91.3898000830086,,,,,,,,,,,,,,,,,,,,93.6230152079952,93.62872566602891,94.12415758299176,,91.38030708301812,91.3898000830086,91.55765000003157,93.62277391599491,Netflix20.jpg,Plan 2,2,2.0597020410350524,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
5,0,5,,,,1,3.1218285000068136,None,,,,,,,,,,,5,0,5,0,,,,,,,,,94.16458029102068,,,,,,,,,,,,,,,,,,,,97.44671020802343,97.4532442910131,97.94158633297775,97.95314233301906,94.158036791021,94.16458029102068,94.31940354098333,97.44610704103252,Hotstar20.jpg,Plan 1,1,3.1218285000068136,None,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.94180591602344,97.95314233301906,98.44158470799448,98.48277250002138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
0,0,0,,,,,,,1,2.4521741250064224,None,,,,,,,,,,,,0,0,0,0,,,,,98.48277250002138,,,,,,,,,,,,,,,,,,,,101.10967379098292,101.12002479098737,101.60848866601009,101.63737020798726,,,,,,,,,,98.47458358301083,98.48277250002138,98.65385699999752,101.10952295799507,Hotstar30.jpg,Plan 1,1,2.4521741250064224,None,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
1,0,1,,,,,,,1,1.2016610829741694,None,,,,,,,,,,,,1,0,1,0,,,,,101.63737020798726,,,,,,,,,,,,,,,,,,,,103.00894587498624,103.01794575003441,103.50843295798404,103.54150895803468,,,,,,,,,,101.62796812498709,101.63737020798726,101.80505591601832,103.00878787500551,Zee530.jpg,Plan 1,1,1.2016610829741694,None,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
2,0,2,,,,,,,1,3.4690545000485145,None,,,,,,,,,,,,2,0,2,0,,,,,103.54150895803468,,,,,,,,,,,,,,,,,,,,107.18901216599625,107.19727758300724,107.68729716603411,107.72970212501241,,,,,,,,,,103.53234308300307,103.54150895803468,103.70756566600176,107.18885191599838,Crunchyroll30.jpg,Plan 1,1,3.4690545000485145,None,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
3,0,3,,,,,,,1,0.9693167080404237,None,,,,,,,,,,,,3,0,3,0,,,,,107.72970212501241,,,,,,,,,,,,,,,,,,,,108.86220533301821,108.87450808298308,109.35987074999139,109.3845878749853,,,,,,,,,,107.72335541603388,107.72970212501241,107.88678929099115,108.86208016599994,SonyLiv30.jpg,Plan 1,1,0.9693167080404237,None,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
4,0,4,,,,,,,2,4.286154749977868,None,,,,,,,,,,,,4,0,4,0,,,,,109.3845878749853,,,,,,,,,,,,,,,,,,,,113.8628377080313,113.87507900001947,114.36003295797855,114.41031462501269,,,,,,,,,,109.37750150001375,109.3845878749853,109.56038662500214,113.86220550001599,AppleOne30.jpg,Plan 2,2,4.286154749977868,None,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
5,0,5,,,,,,,2,1.7171125830500387,None,,,,,,,,,,,,5,0,5,0,,,,,114.41031462501269,,,,,,,,,,,,,,,,,,,,116.27969008299988,116.28677916602464,116.77517237502616,116.78761175001273,,,,,,,,,,114.40331341599813,114.41031462501269,114.56045654101763,116.27959537500283,Netflix30.jpg,Plan 2,2,1.7171125830500387,None,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.77530074998504,116.78761175001273,117.27695158298593,117.30813854100415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
0,0,0,,,,,,,,,,1,24.05410833400674,None,,,,,,,,,,,,,0,0,0,0,117.30813854100415,,,,,,,,,,,,,,,,,,,,141.55301533301827,141.56027258298127,142.04416500002844,142.09411004098365,,,,,,,,,,,,,,,,,,,117.29722750000656,117.30813854100415,117.48743254103465,141.55080525000812,Zee5Bundling.jpg,Plan 1,1,24.05410833400674,None,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
1,0,1,,,,,,,,,,3,7.377866916998755,None,,,,,,,,,,,,,1,0,1,0,142.09411004098365,,,,,,,,,,,,,,,,,,,,149.64455416600686,149.65506870800164,150.1436103330343,150.1743776660296,,,,,,,,,,,,,,,,,,,142.0869271249976,142.09411004098365,142.25493720802478,149.644400625024,SonyLivBundling.jpg,Plan 3,3,7.377866916998755,None,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
2,0,2,,,,,,,,,,1,2.0455280000460334,None,,,,,,,,,,,,,2,0,2,0,150.1743776660296,,,,,,,,,,,,,,,,,,,,152.38975470798323,152.3946159160114,152.8816400829819,152.9119418329792,,,,,,,,,,,,,,,,,,,150.1648073749966,150.1743776660296,150.34016333299223,152.38962666603038,AppleOneBundling.jpg,Plan 1,1,2.0455280000460334,None,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
3,0,3,,,,,,,,,,1,2.9207723749568686,None,,,,,,,,,,,,,3,0,3,0,152.9119418329792,,,,,,,,,,,,,,,,,,,,156.01490633300273,156.0226834579953,156.5062973750173,156.5419003330171,,,,,,,,,,,,,,,,,,,152.90256208297797,152.9119418329792,153.08933087502373,156.01480829098728,HotstarBundling.jpg,Plan 1,1,2.9207723749568686,None,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
4,0,4,,,,,,,,,,2,3.853596207976807,None,,,,,,,,,,,,,4,0,4,0,156.5419003330171,,,,,,,,,,,,,,,,,,,,160.57562550000148,160.58523104101187,161.0736238330137,161.09707833302673,,,,,,,,,,,,,,,,,,,156.5347441660124,156.5419003330171,156.7118250830099,160.57536758302012,NetflixBundling.jpg,Plan 2,2,3.853596207976807,None,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
5,0,5,,,,,,,,,,1,10.465968874981627,None,,,,,,,,,,,,,5,0,5,0,161.09707833302673,,,,,,,,,,,,,,,,,,,,171.74921224999707,171.75821895798435,172.2460819160333,172.26043566601584,,,,,,,,,,,,,,,,,,,161.09043783298694,161.09707833302673,161.27213416597806,171.74827720801113,CrunchyrollBundling.jpg,Plan 1,1,10.465968874981627,None,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.24636483303038,172.26043566601584,172.74507645802805,172.7636496250052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.74515195802087,172.7636496250052,173.74547533300938,177.82993312500184,space,4.0811449169996195,None,41198,001,2025-04-02_12h04.49.915,RES501,2024.2.4,None,2025-04-02 12h05.09.215813 +0530,
